product_id,upc,brand,product_name,category,subcategory,size,unit_of_measure,base_price_cents,tax_code,is_perishable,is_age_restricted,brand_tier,created_date
P00001,100000000000,Fifth Ave Reserve,Fifth Ave Reserve Milk 6 pk,Dairy & Eggs,Milk,6 pk,ct,585,FOOD_NONTAX,True,False,Premium,2024-01-15
P00002,100000000001,Hudson Valley,Hudson Valley Cold Cuts 16 oz,Deli,Cold Cuts,16 oz,oz,582,FOOD_NONTAX,True,False,National,2024-01-15
P00003,100000000002,Hudson Valley,Hudson Valley Prepared Salad 2 lb,Prepared Meals,Prepared Salad,2 lb,lb,908,FOOD_TAXABLE,True,False,National,2024-01-15
P00004,100000000003,Hudson Valley,Hudson Valley Wine 2 lb,Alcohol,Wine,2 lb,lb,1575,ALCOHOL,False,True,National,2024-01-15
P00005,100000000004,EastRiver,EastRiver Soda 2 lb,Beverages,Soda,2 lb,lb,583,FOOD_TAXABLE,False,False,National,2024-01-15
P00006,100000000005,EastRiver,EastRiver Cat Kibble 1 lb,Pet Food,Cat Kibble,1 lb,lb,1383,FOOD_TAXABLE,False,False,National,2024-01-15
P00007,100000000006,Fifth Ave Reserve,Fifth Ave Reserve Prepared Salad 1 L,Prepared Meals,Prepared Salad,1 L,L,785,FOOD_TAXABLE,True,False,Premium,2024-01-15
P00008,100000000007,Mancino Private Label,Mancino Private Label Pasta 1 L,Grains and Pasta,Pasta,1 L,L,474,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00009,100000000008,Mancino Private Label,Mancino Private Label Cereal 32 oz,Breakfast & Cereal,Cereal,32 oz,oz,580,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00010,100000000009,Mancino Select,Mancino Select Dog Kibble 2 lb,Pet Food,Dog Kibble,2 lb,lb,1519,FOOD_TAXABLE,False,False,Private Label,2024-01-15
P00011,100000000010,EastRiver,EastRiver Pasta 1 L,Grains and Pasta,Pasta,1 L,L,172,FOOD_NONTAX,False,False,National,2024-01-15
P00012,100000000011,MetroFresh,MetroFresh Potato Chips 1 lb,Snacks/Cookies/Chips,Potato Chips,1 lb,lb,562,FOOD_NONTAX,False,False,National,2024-01-15
P00013,100000000012,MetroFresh,MetroFresh Soda 750 ml,Beverages,Soda,750 ml,ml,688,FOOD_TAXABLE,False,False,National,2024-01-15
P00014,100000000013,EastRiver,EastRiver Beer 12 pk,Alcohol,Beer,12 pk,ct,1682,ALCOHOL,False,True,National,2024-01-15
P00015,100000000014,Gotham Goods,Gotham Goods Wine 750 ml,Alcohol,Wine,750 ml,ml,1734,ALCOHOL,False,True,National,2024-01-15
P00016,100000000015,Mancino Select,Mancino Select Dog Kibble 1 lb,Pet Food,Dog Kibble,1 lb,lb,1415,FOOD_TAXABLE,False,False,Private Label,2024-01-15
P00017,100000000016,Harbor & Co.,Harbor & Co. Beer 24 oz,Alcohol,Beer,24 oz,oz,1547,ALCOHOL,False,True,National,2024-01-15
P00018,100000000017,Harbor & Co.,Harbor & Co. Chicken 750 ml,Meat and Seafood,Chicken,750 ml,ml,1232,FOOD_NONTAX,True,False,National,2024-01-15
P00019,100000000018,Harbor & Co.,Harbor & Co. Sparkling Water 6 pk,Beverages,Sparkling Water,6 pk,ct,569,FOOD_TAXABLE,False,False,National,2024-01-15
P00020,100000000019,Mancino Essentials,Mancino Essentials Milk 24 oz,Dairy & Eggs,Milk,24 oz,oz,426,FOOD_NONTAX,True,False,Private Label,2024-01-15
P00021,100000000020,Mancino Select,Mancino Select Frozen Pizza 16 oz,Frozen Foods,Frozen Pizza,16 oz,oz,995,FOOD_NONTAX,False,False,Private Label,2024-01-15
P00022,100000000021,MetroFresh,MetroFresh Cat Kibble 1 lb,Pet Food,Cat Kibble,1 lb,lb,1418,FOOD_TAXABLE,False,False,National,2024-01-15
P00023,100000000022,EastRiver,EastRiver Salmon 6 pk,Meat and Seafood,Salmon,6 pk,ct,1078,FOOD_NONTAX,True,False,National,2024-01-15
P00024,100000000023,Gotham Goods,Gotham Goods Soda 32 oz,Beverages,Soda,32 oz,oz,550,FOOD_TAXABLE,False,False,National,2024-01-15
P00025,100000000024,EastRiver,EastRiver Cat Kibble 32 oz,Pet Food,Cat Kibble,32 oz,oz,1562,FOOD_TAXABLE,False,False,National,2024-01-15
P00026,100000000025,Gotham Goods,Gotham Goods Soda 12 pk,Beverages,Soda,12 pk,ct,369,FOOD_TAXABLE,False,False,National,2024-01-15
P00027,100000000026,Hudson Valley,Hudson Valley Wine 750 ml,Alcohol,Wine,750 ml,ml,1606,ALCOHOL,False,True,National,2024-01-15
P00028,100000000027,Gotham Goods,Gotham Goods Potato Chips 2 lb,Snacks/Cookies/Chips,Potato Chips,2 lb,lb,364,FOOD_NONTAX,False,False,National,2024-01-15
P00029,100000000028,Hudson Valley,Hudson Valley Milk 12 pk,Dairy & Eggs,Milk,12 pk,ct,322,FOOD_NONTAX,True,False,National,2024-01-15
P00030,100000000029,MetroFresh,MetroFresh Cat Kibble 1 lb,Pet Food,Cat Kibble,1 lb,lb,1546,FOOD_TAXABLE,False,False,National,2024-01-15
P00031,100000000030,Gotham Goods,Gotham Goods Bread 12 pk,Bakery,Bread,12 pk,ct,292,FOOD_NONTAX,True,False,National,2024-01-15
P00032,100000000031,EastRiver,EastRiver Tomato Sauce 12 pk,Condiments/Sauces/Spices,Tomato Sauce,12 pk,ct,548,FOOD_NONTAX,False,False,National,2024-01-15
P00033,100000000032,EastRiver,EastRiver Sparkling Water 12 oz,Beverages,Sparkling Water,12 oz,oz,646,FOOD_TAXABLE,False,False,National,2024-01-15
P00034,100000000033,Harbor & Co.,Harbor & Co. Frozen Pizza 32 oz,Frozen Foods,Frozen Pizza,32 oz,oz,990,FOOD_NONTAX,False,False,National,2024-01-15
P00035,100000000034,Mancino Select,Mancino Select Chocolate 1 lb,Candy,Chocolate,1 lb,lb,257,FOOD_TAXABLE,False,False,Private Label,2024-01-15
P00036,100000000035,Gotham Goods,Gotham Goods Cold Cuts 750 ml,Deli,Cold Cuts,750 ml,ml,845,FOOD_NONTAX,True,False,National,2024-01-15
P00037,100000000036,EastRiver,EastRiver Flour 24 oz,Baking,Flour,24 oz,oz,692,FOOD_NONTAX,False,False,National,2024-01-15
