transaction_id,store_id,customer_id,txn_ts,channel,subtotal_cents,tax_cents,total_cents
T00000001,S0001,C000289,2025-07-01T19:06:18,In-Store,7038,415,7453
T00000002,S0001,,2025-07-01T17:32:04,In-Store,1756,93,1849
T00000003,S0001,C000809,2025-07-01T08:03:57,In-Store,9842,353,10195
T00000004,S0001,C000884,2025-07-01T19:04:18,In-Store,12087,702,12789
T00000005,S0001,C000926,2025-07-01T09:46:22,In-Store,4786,426,5212
T00000006,S0001,C000296,2025-07-01T08:36:01,In-Store,8984,572,9556
T00000007,S0001,C000794,2025-07-01T09:19:36,In-Store,18256,879,19135
T00000008,S0001,C000909,2025-07-01T08:46:40,In-Store,7823,419,8242
T00000009,S0001,C000195,2025-07-01T12:20:32,In-Store,11714,961,12675
T00000010,S0001,C000824,2025-07-01T17:31:49,In-Store,5754,118,5872
T00000011,S0001,C000127,2025-07-01T11:29:47,In-Store,4780,72,4852
T00000012,S0001,C000394,2025-07-01T18:15:52,In-Store,7688,667,8355
T00000013,S0001,C000685,2025-07-01T16:47:08,In-Store,3743,57,3800
T00000014,S0001,C000955,2025-07-01T08:36:41,In-Store,4949,358,5307
T00000015,S0001,,2025-07-01T10:26:11,In-Store,4502,0,4502
T00000016,S0001,C000153,2025-07-01T13:19:52,In-Store,4607,250,4857
T00000017,S0001,C000356,2025-07-01T10:14:19,In-Store,15055,463,15518
T00000018,S0001,C000647,2025-07-01T16:30:36,In-Store,4610,267,4877
T00000019,S0001,,2025-07-01T08:31:35,In-Store,13891,627,14518
T00000020,S0001,C000125,2025-07-01T12:38:40,In-Store,9902,214,10116
T00000021,S0001,C000269,2025-07-01T10:41:03,In-Store,6205,451,6656
T00000022,S0001,C000252,2025-07-01T09:27:54,In-Store,8984,797,9781
T00000023,S0001,C000945,2025-07-01T17:38:19,In-Store,7710,0,7710
T00000024,S0001,C000438,2025-07-01T08:10:01,In-Store,11471,678,12149
T00000025,S0001,C000443,2025-07-01T17:56:05,In-Store,6738,384,7122
T00000026,S0001,C000702,2025-07-01T09:34:53,In-Store,6272,319,6591
T00000027,S0001,C000327,2025-07-01T08:12:40,In-Store,9555,849,10404
T00000028,S0001,C000040,2025-07-01T10:51:43,In-Store,7711,0,7711
T00000029,S0001,C000538,2025-07-01T09:28:07,In-Store,5349,181,5530
T00000030,S0001,C000083,2025-07-01T14:34:02,In-Store,4702,323,5025
T00000031,S0001,C000017,2025-07-01T16:21:48,In-Store,4691,296,4987
T00000032,S0001,C000156,2025-07-01T12:04:18,In-Store,6197,236,6433
T00000033,S0001,C000628,2025-07-01T15:35:36,In-Store,2754,92,2846
T00000034,S0001,C000027,2025-07-01T18:03:41,In-Store,11332,637,11969
T00000035,S0001,C000825,2025-07-01T11:35:35,In-Store,11890,714,12604
T00000036,S0001,C000936,2025-07-01T08:21:09,In-Store,6061,149,6210
T00000037,S0001,C000980,2025-07-01T10:38:12,In-Store,6001,417,6418
