customer_id,age,zipcode,home_store_id,gender,loyalty_tier
CUST00001,56,10012,4,Female,Bronze
CUST00002,69,10013,2,Male,Silver
CUST00003,46,10011,3,Other,Silver
CUST00004,32,10001,2,Male,Silver
CUST00005,60,10012,4,Male,Bronze
CUST00006,25,10012,4,Male,Gold
CUST00007,78,10001,5,Female,Bronze
CUST00008,38,10013,1,Female,Bronze
CUST00009,56,10001,5,Male,Gold
CUST00010,75,10011,3,Male,Gold
CUST00011,36,10001,2,Female,Bronze
CUST00012,40,10012,3,Male,Bronze
CUST00013,28,10001,4,Female,Bronze
CUST00014,28,10013,5,Female,Bronze
CUST00015,41,10003,5,Female,Bronze
CUST00016,70,10001,5,Other,Bronze
CUST00017,53,10013,3,Male,Silver
CUST00018,57,10013,4,Other,Gold
CUST00019,41,10012,2,Female,Silver
CUST00020,20,10013,2,Female,Silver
CUST00021,39,10013,3,Male,Bronze
CUST00022,70,10013,5,Female,Platinum
CUST00023,19,10013,1,Male,Gold
CUST00024,41,10011,3,Male,Gold
CUST00025,61,10011,3,Male,Gold
CUST00026,47,10012,4,Female,Platinum
CUST00027,55,10001,2,Female,Silver
CUST00028,19,10013,3,Female,Bronze
CUST00029,77,10001,3,Female,Silver
CUST00030,38,10001,5,Male,Gold
CUST00031,50,10012,5,Female,Gold
CUST00032,29,10013,1,Male,Silver
CUST00033,75,10013,4,Female,Bronze
CUST00034,39,10003,1,Female,Bronze
CUST00035,78,10001,5,Female,Platinum
CUST00036,61,10001,2,Female,Silver
CUST00037,42,10011,5,Male,Silver
CUST00038,66,10003,4,Male,Bronze
CUST00039,44,10011,5,Female,Bronze
CUST00040,76,10011,4,Male,Gold
CUST00041,59,10011,4,Male,Silver
CUST00042,45,10012,4,Female,Gold
CUST00043,77,10012,4,Female,Silver
CUST00044,33,10011,4,Male,Silver
CUST00045,32,10003,2,Male,Bronze
CUST00046,79,10001,1,Female,Gold
CUST00047,79,10003,3,Female,Silver
CUST00048,64,10013,1,Male,Silver
CUST00049,79,10012,4,Male,Silver
CUST00050,68,10001,2,Male,Platinum
CUST00051,61,10001,5,Male,Bronze
CUST00052,72,10013,2,Male,Gold
