date,store_id,store_name,category,avg_price,units_sold,revenue,promo_flag,day_of_week
2025-07-01,S0001,,Alcohol,11.81131868131868,110,1314.12,1,Tuesday
2025-07-01,S0001,,Bakery,3.7089999999999996,22,81.4,1,Tuesday
2025-07-01,S0001,,Baking,3.4984313725490193,64,229.52,1,Tuesday
2025-07-01,S0001,,Beverages,3.478918918918919,71,250.25,1,Tuesday
2025-07-01,S0001,,Breakfast & Cereal,4.583421052631579,44,204.91,1,Tuesday
2025-07-01,S0001,,Candy,2.3888235294117646,44,115.82,1,Tuesday
2025-07-01,S0001,,Condiments/Sauces/Spices,3.6994285714285713,39,141.29,1,Tuesday
2025-07-01,S0001,,Dairy & Eggs,3.3158139534883726,108,359.2,1,Tuesday
2025-07-01,S0001,,Deli,5.7612,36,198.93,1,Tuesday
2025-07-01,S0001,,Frozen Foods,6.651764705882353,36,238.7,1,Tuesday
2025-07-01,S0001,,Grains and Pasta,2.5038095238095237,25,61.74,1,Tuesday
2025-07-01,S0001,,Meat and Seafood,9.521515151515153,33,314.38,1,Tuesday
2025-07-01,S0001,,Pet Food,7.592999999999999,34,239.78,1,Tuesday
2025-07-01,S0001,,Prepared Meals,8.341351351351351,40,325.57,1,Tuesday
2025-07-01,S0001,,Snacks/Cookies/Chips,3.23856,188,606.93,1,Tuesday
2025-07-01,S0002,,Alcohol,11.37235294117647,21,238.16,1,Tuesday
2025-07-01,S0002,,Bakery,2.865,5,14.11,1,Tuesday
2025-07-01,S0002,,Baking,4.247999999999999,8,32.730000000000004,1,Tuesday
2025-07-01,S0002,,Beverages,3.46,13,41.71,1,Tuesday
2025-07-01,S0002,,Breakfast & Cereal,4.935833333333333,14,71.01,1,Tuesday
2025-07-01,S0002,,Candy,2.632857142857143,7,18.45,1,Tuesday
2025-07-01,S0002,,Condiments/Sauces/Spices,3.8525,11,42.86,1,Tuesday
2025-07-01,S0002,,Dairy & Eggs,3.554,23,82.05,1,Tuesday
2025-07-01,S0002,,Deli,6.3999999999999995,8,54.46,1,Tuesday
2025-07-01,S0002,,Frozen Foods,6.462000000000001,5,32.34,1,Tuesday
2025-07-01,S0002,,Grains and Pasta,2.41,4,9.629999999999999,1,Tuesday
2025-07-01,S0002,,Meat and Seafood,9.639,10,96.55,1,Tuesday
2025-07-01,S0002,,Pet Food,6.95,8,52.83,1,Tuesday
2025-07-01,S0002,,Prepared Meals,8.27090909090909,14,114.45,1,Tuesday
2025-07-01,S0002,,Snacks/Cookies/Chips,3.1492857142857145,45,142.94,1,Tuesday
2025-07-01,S0003,,Alcohol,12.437999999999999,51,647.01,1,Tuesday
2025-07-01,S0003,,Bakery,3.97,5,18.049999999999997,1,Tuesday
2025-07-01,S0003,,Baking,3.952,21,81.54,1,Tuesday
2025-07-01,S0003,,Beverages,3.03,13,39.4,1,Tuesday
2025-07-01,S0003,,Breakfast & Cereal,5.524444444444445,12,63.46,1,Tuesday
2025-07-01,S0003,,Candy,2.395,22,52.29,1,Tuesday
2025-07-01,S0003,,Condiments/Sauces/Spices,4.0475,17,73.88,1,Tuesday
2025-07-01,S0003,,Dairy & Eggs,3.2786046511627904,57,175.14,1,Tuesday
2025-07-01,S0003,,Deli,5.95875,19,107.93,1,Tuesday
2025-07-01,S0003,,Frozen Foods,6.959090909090909,14,94.42,1,Tuesday
2025-07-01,S0003,,Grains and Pasta,2.255,8,17.61,1,Tuesday
2025-07-01,S0003,,Meat and Seafood,9.424375,21,198.39000000000001,1,Tuesday
2025-07-01,S0003,,Pet Food,7.3919999999999995,24,171.43,1,Tuesday
2025-07-01,S0003,,Prepared Meals,8.00047619047619,27,222.56,1,Tuesday
2025-07-01,S0003,,Snacks/Cookies/Chips,3.0291803278688523,80,242.12,1,Tuesday
2025-07-01,S0004,,Alcohol,11.930967741935484,79,947.86,1,Tuesday
2025-07-01,S0004,,Bakery,4.552,7,30.189999999999998,1,Tuesday
2025-07-01,S0004,,Baking,3.795813953488372,54,204.74,1,Tuesday
2025-07-01,S0004,,Beverages,3.3249999999999997,19,62.43,1,Tuesday
2025-07-01,S0004,,Breakfast & Cereal,4.508181818181818,23,101.39,1,Tuesday
2025-07-01,S0004,,Candy,2.4844,27,67.77,1,Tuesday
2025-07-01,S0004,,Condiments/Sauces/Spices,3.536666666666667,20,70.42,1,Tuesday
2025-07-01,S0004,,Dairy & Eggs,3.6086046511627905,54,201.25,1,Tuesday
2025-07-01,S0004,,Deli,5.722799999999999,33,180.69,1,Tuesday
2025-07-01,S0004,,Frozen Foods,7.142499999999999,16,107.66,1,Tuesday
2025-07-01,S0004,,Grains and Pasta,2.548,8,21.61,1,Tuesday
2025-07-01,S0004,,Meat and Seafood,8.847,12,106.21000000000001,1,Tuesday
2025-07-01,S0004,,Pet Food,7.15,37,263.97,1,Tuesday
2025-07-01,S0004,,Prepared Meals,7.549090909090908,22,166.22,1,Tuesday
2025-07-01,S0004,,Snacks/Cookies/Chips,3.2503125,82,265.41,1,Tuesday
2025-07-01,S0005,,Alcohol,12.361666666666668,40,485.87,1,Tuesday
2025-07-01,S0005,,Bakery,3.8825,8,31.060000000000002,1,Tuesday
2025-07-01,S0005,,Baking,3.5383333333333336,17,60.49,1,Tuesday
2025-07-01,S0005,,Beverages,3.2125,12,38.26,1,Tuesday
2025-07-01,S0005,,Breakfast & Cereal,4.353846153846154,17,76.05,1,Tuesday
2025-07-01,S0005,,Candy,2.464444444444444,11,25.98,1,Tuesday
2025-07-01,S0005,,Condiments/Sauces/Spices,3.6128571428571425,10,36.81,1,Tuesday
2025-07-01,S0005,,Dairy & Eggs,3.565,29,99.74000000000001,1,Tuesday
2025-07-01,S0005,,Deli,6.369090909090909,12,77.84,1,Tuesday
2025-07-01,S0005,,Frozen Foods,7.059,13,89.6,1,Tuesday
2025-07-01,S0005,,Grains and Pasta,2.16625,11,23.11,1,Tuesday
2025-07-01,S0005,,Meat and Seafood,10.056363636363637,18,177.28,1,Tuesday
2025-07-01,S0005,,Pet Food,6.598461538461539,14,91.78,1,Tuesday
2025-07-01,S0005,,Prepared Meals,8.383846153846154,18,154.24,1,Tuesday
2025-07-01,S0005,,Snacks/Cookies/Chips,3.052258064516129,45,138.66,1,Tuesday
2025-07-02,S0001,,Alcohol,11.997402597402596,98,1184.93,1,Wednesday
2025-07-02,S0001,,Bakery,3.7590909090909093,17,59.6,1,Wednesday
2025-07-02,S0001,,Baking,4.102058823529411,34,139.47,1,Wednesday
2025-07-02,S0001,,Beverages,3.28,68,226.67,1,Wednesday
2025-07-02,S0001,,Breakfast & Cereal,4.37972972972973,43,191.25,1,Wednesday
2025-07-02,S0001,,Candy,2.401764705882353,42,98.84,1,Wednesday
2025-07-02,S0001,,Condiments/Sauces/Spices,3.174285714285714,32,102.06,1,Wednesday
2025-07-02,S0001,,Dairy & Eggs,3.6605607476635513,137,506.77,1,Wednesday
2025-07-02,S0001,,Deli,5.974285714285714,39,232.75,1,Wednesday
2025-07-02,S0001,,Frozen Foods,6.937407407407408,37,263.16,1,Wednesday
2025-07-02,S0001,,Grains and Pasta,2.48,15,38.76,1,Wednesday
2025-07-02,S0001,,Meat and Seafood,9.500454545454545,48,443.87,1,Wednesday
2025-07-02,S0001,,Pet Food,7.8915999999999995,57,456.94,1,Wednesday
2025-07-02,S0001,,Prepared Meals,9.2490625,47,424.05,1,Wednesday
2025-07-02,S0001,,Snacks/Cookies/Chips,3.015961538461539,148,438.36,1,Wednesday
2025-07-02,S0002,,Alcohol,12.36,23,283.11,1,Wednesday
2025-07-02,S0002,,Bakery,4.675,2,9.32,1,Wednesday
2025-07-02,S0002,,Baking,3.4829999999999997,12,42.190000000000005,1,Wednesday
2025-07-02,S0002,,Beverages,3.271111111111111,14,48.099999999999994,1,Wednesday
2025-07-02,S0002,,Breakfast & Cereal,4.69125,13,58.6,1,Wednesday
2025-07-02,S0002,,Candy,2.777142857142857,10,25.78,1,Wednesday
2025-07-02,S0002,,Condiments/Sauces/Spices,2.973,13,35.36,1,Wednesday
2025-07-02,S0002,,Dairy & Eggs,4.068695652173913,31,127.56,1,Wednesday
2025-07-02,S0002,,Deli,6.112,15,91.85,1,Wednesday
2025-07-02,S0002,,Frozen Foods,6.6866666666666665,11,73.78,1,Wednesday
2025-07-02,S0002,,Grains and Pasta,2.1566666666666667,5,9.809999999999999,1,Wednesday
2025-07-02,S0002,,Meat and Seafood,8.5225,5,42.37,1,Wednesday
2025-07-02,S0002,,Pet Food,7.602222222222222,10,74.67,1,Wednesday
2025-07-02,S0002,,Prepared Meals,8.472857142857142,7,59.3,1,Wednesday
2025-07-02,S0002,,Snacks/Cookies/Chips,2.9932,39,117.7,1,Wednesday
2025-07-02,S0003,,Alcohol,12.452,43,536.14,1,Wednesday
2025-07-02,S0003,,Bakery,3.8983333333333334,13,50.72,1,Wednesday
2025-07-02,S0003,,Baking,3.7883333333333336,15,60.54,1,Wednesday
2025-07-02,S0003,,Beverages,3.578076923076923,37,130.03,1,Wednesday
2025-07-02,S0003,,Breakfast & Cereal,3.916875,18,72.94,1,Wednesday
2025-07-02,S0003,,Candy,2.5623076923076926,16,40.78,1,Wednesday
2025-07-02,S0003,,Condiments/Sauces/Spices,3.5353846153846153,17,59.25,1,Wednesday
2025-07-02,S0003,,Dairy & Eggs,3.6264150943396225,67,233.15,1,Wednesday
2025-07-02,S0003,,Deli,5.889411764705883,20,118.61,1,Wednesday
2025-07-02,S0003,,Frozen Foods,6.602666666666666,18,112.33,1,Wednesday
