product_id,store_id,on_hand_units,reorder_point,base_price_override_cents,active
P00470,S0001,84,24,,True
P01980,S0001,23,11,,True
P01066,S0001,70,14,,True
P01535,S0001,14,20,,True
P01370,S0001,64,17,,True
P01694,S0001,80,20,,True
P00080,S0001,87,15,,True
P00598,S0001,86,27,768.0,True
P00155,S0001,50,15,,True
P00805,S0001,44,18,,True
P01596,S0001,92,18,,True
P00138,S0001,37,28,1173.0,True
P01456,S0001,63,17,317.0,True
P01668,S0001,84,18,,True
P01305,S0001,51,12,678.0,True
P00810,S0001,51,15,1577.0,True
P00875,S0001,77,12,,True
P00673,S0001,42,11,,True
P00136,S0001,15,22,,True
P01727,S0001,31,17,,True
P01997,S0001,78,25,1488.0,True
P00690,S0001,52,30,,True
P01770,S0001,24,30,,True
P01478,S0001,55,30,,True
P00087,S0001,58,28,515.0,True
P00853,S0001,95,14,,True
P00634,S0001,81,16,441.0,True
P01322,S0001,12,29,371.0,True
P01335,S0001,14,23,,True
P00373,S0001,73,13,818.0,True
P01288,S0001,55,21,,True
P00349,S0001,37,16,,True
P01553,S0001,63,16,,True
P01110,S0001,72,23,422.0,True
P01962,S0001,24,18,,True
P00876,S0001,43,13,323.0,True
P00492,S0001,49,10,1179.0,True
P00013,S0001,61,23,,True
P00907,S0001,39,26,640.0,True
P00638,S0001,33,25,,True
P00329,S0001,76,16,,True
P01055,S0001,86,24,,True
P01183,S0001,81,15,,True
P00640,S0001,35,17,,True
P01592,S0001,67,28,555.0,True
P01602,S0001,77,26,,True
P00799,S0001,88,27,,True
P00337,S0001,46,10,,True
P01294,S0001,17,26,1356.0,True
P01813,S0001,87,10,480.0,True
P00194,S0001,56,20,,True
P00747,S0001,58,24,,True
P00814,S0001,41,21,422.0,True
P00556,S0001,70,19,628.0,True
P00231,S0001,25,25,,True
P00200,S0001,11,28,1417.0,True
P01092,S0001,96,17,,True
P01845,S0001,34,18,,True
P01830,S0001,40,12,,True
P00688,S0001,72,25,,True
P00424,S0001,82,26,,True
P01710,S0001,79,19,,True
P01103,S0001,29,30,474.0,True
P01034,S0001,25,13,,True
P00677,S0001,90,25,,True
P00024,S0001,58,29,,True
