promotion_id,promo_type,name,week_start,week_end,scope_type,scope_id,store_scope,amount_off,percent_off,buy_qty,get_qty,new_price,min_qty,min_spend,bundle_type,bundle_qty,bundle_price,limit_per_customer,priority,can_stack,notes,active
PR1501,BOGO,Yogurt Singles B1G1,2025-09-21,2025-09-27,category,C_YOGURT,ALL,,,1,1,,,,,,6,80,80,FALSE,TRUE,FALSE
PR1502,BUNDLE,3 for $10 Soda 12pk,2025-09-21,2025-09-27,category,C_SODA,ALL,,,,,,,,mix_n_match,3,10.00,6,90,FALSE,12-packs; mix & match,TRUE
PR1503,COUPON,$2 Off Coffee (min $10),2025-09-21,2025-09-27,category,C_COFFEE,ALL,2.00,,,,,,10.00,,,,5,70,TRUE,Ground/whole bean,TRUE
PR1504,MANAGER_SPECIAL,Manager Special 15% Off,2025-08-31,2025-09-06,category,Alcohol,ALL,,15,,,,,,,,,10,60,TRUE,limited time markdown,TRUE
PR1505,BUNDLE,2 for $12 Frozen Pizza,2025-09-21,2025-09-27,category,C_FROZEN_PIZZA,ALL,,,,,,,,fixed_set,2,12.00,4,85,FALSE,Select brands only,TRUE
PR1506,COUPON,$1 Off Granola Bars (2+),2025-09-21,2025-09-27,category,C_GRANOLA_BARS,ALL,1.00,,,,,2,,,,,6,65,TRUE,Any brand; min qty 2,TRUE
PR2025082401,MANAGER_SPECIAL,Manager Special 15% Off,2025-08-24,2025-08-30,category,Condiments/Sauces/Spices,ALL,,15,,,,,,,,,10,60,TRUE,limited time markdown,TRUE
PR2025082402,BOGO,Buy 1 Get 1,2025-08-24,2025-08-30,category,Beverages,ALL,,,1,1,,,,,,,4,80,FALSE,applies to category; singles only,TRUE
PR2025082403,BUNDLE,3 for $24.93,2025-08-24,2025-08-30,category,Alcohol,ALL,,,,,,,,fixed_set,3,24.93,6,90,FALSE,select set,TRUE
PR2025082404,MANAGER_SPECIAL,Manager Special 25% Off,2025-08-24,2025-08-30,category,Meat and Seafood,ALL,,25,,,,,,,,,8,60,TRUE,limited time markdown,TRUE
PR2025082405,MANAGER_SPECIAL,Manager Special 15% Off,2025-08-24,2025-08-30,category,Bakery,ALL,,15,,,,,,,,,6,60,TRUE,limited time markdown,TRUE
PR2025082406,BOGO,Buy 1 Get 1,2025-08-24,2025-08-30,category,Deli,ALL,,,1,1,,,,,,,6,80,FALSE,applies to category; singles only,TRUE
PR2025082407,BUNDLE,2 for $5.54,2025-08-24,2025-08-30,category,Baking,ALL,,,,,,,,mix_n_match,2,5.54,4,90,FALSE,mix and match allowed,TRUE
PR2025082408,BUNDLE,3 for $18.91,2025-08-24,2025-08-30,category,Prepared Meals,ALL,,,,,,,,fixed_set,3,18.91,10,90,FALSE,select set,TRUE
PR2025082409,BOGO,Buy 1 Get 1,2025-08-24,2025-08-30,category,Dairy & Eggs,ALL,,,1,1,,,,,,,8,80,FALSE,applies to category; singles only,TRUE
PR2025082410,BUNDLE,3 for $5.81,2025-08-24,2025-08-30,category,Candy,2,,,,,,,,mix_n_match,3,5.81,6,90,FALSE,mix and match allowed,TRUE
PR2025082411,BOGO,Buy 1 Get 1,2025-08-24,2025-08-30,category,Frozen Foods,ALL,,,1,1,,,,,,,8,80,FALSE,applies to category; singles only,TRUE
PR2025082412,COUPON,$2.50 Off (coupon),2025-08-24,2025-08-30,category,Breakfast & Cereal,ALL,2.50,,,,,,,,,,8,70,TRUE,coupon applies at checkout,TRUE
PR2025082413,COUPON,$1.50 Off (coupon),2025-08-24,2025-08-30,category,Grains and Pasta,4,1.50,,,,,,10.00,,,,6,70,TRUE,coupon applies at checkout,TRUE
PR2025082414,COUPON,$0.50 Off (coupon),2025-08-24,2025-08-30,category,Pet Food,ALL,0.50,,,,,,,,,,10,70,TRUE,coupon applies at checkout,TRUE
