transaction_id,line_number,product_id,category,unit_cost,unit_price,promo_price,qty,line_subtotal,line_discount,line_total,promo_id,promo_type,__line_total_std,__line_subtotal_std,__line_discount_std,__tid_num
T00000001,1,P00823,Alcohol,11.39,14.88,,1,14.88,0.03,14.85,,,14.85,14.88,0.03,1.0
T00000001,2,P00694,Beverages,2.65,3.44,,2,6.88,0.01,6.87,,,6.87,6.88,0.01,1.0
T00000001,3,P00897,Alcohol,9.57,12.2,,1,12.2,0.03,12.17,,,12.17,12.2,0.03,1.0
T00000001,4,P01377,Dairy & Eggs,2.77,4.64,,1,4.64,0.01,4.63,,,4.63,4.64,0.01,1.0
T00000001,5,P00374,Baking,1.68,2.53,,1,2.53,0.01,2.52,,,2.52,2.53,0.01,1.0
T00000002,1,P00948,Alcohol,8.4,10.99,,3,32.97,-0.06,33.03,,,33.03,32.97,-0.06,2.0
T00000002,2,P00755,Condiments/Sauces/Spices,1.67,3.01,,2,6.02,-0.01,6.03,,,6.03,6.02,-0.01,2.0
T00000002,3,P00291,Alcohol,8.52,12.23,,1,12.23,-0.02,12.25,,,12.25,12.23,-0.02,2.0
T00000002,4,P00110,Pet Food,3.14,5.65,,3,16.95,-0.03,16.98,,,16.98,16.95,-0.03,2.0
T00000002,5,P00378,Snacks/Cookies/Chips,1.9,2.96,,1,2.96,-0.01,2.97,,,2.97,2.96,-0.01,2.0
T00000003,1,P00857,Deli,3.72,5.23,,1,5.23,0.01,5.22,,,5.22,5.23,0.01,3.0
T00000003,2,P01028,Baking,1.85,2.9,,1,2.9,0.01,2.89,,,2.89,2.9,0.01,3.0
T00000003,3,P00967,Snacks/Cookies/Chips,2.7,3.73,,1,3.73,0.01,3.72,,,3.72,3.73,0.01,3.0
T00000003,4,P01103,Snacks/Cookies/Chips,1.88,3.24,,1,3.24,0.01,3.23,,,3.23,3.24,0.01,3.0
T00000003,5,P01086,Condiments/Sauces/Spices,2.48,3.91,,1,3.91,0.01,3.9,,,3.9,3.91,0.01,3.0
T00000004,1,P00605,Snacks/Cookies/Chips,2.09,3.17,,1,3.17,-0.01,3.18,,,3.18,3.17,-0.01,4.0
T00000004,2,P01046,Alcohol,9.39,12.06,,1,12.06,-0.05,12.11,,,12.11,12.06,-0.05,4.0
T00000004,3,P00384,Snacks/Cookies/Chips,2.24,3.04,,1,3.04,-0.01,3.05,,,3.05,3.04,-0.01,4.0
T00000005,1,P00069,Meat and Seafood,5.14,9.14,,1,9.14,0.02,9.12,,,9.12,9.14,0.02,5.0
T00000005,2,P00679,Frozen Foods,3.61,5.38,,1,5.38,0.01,5.37,,,5.37,5.38,0.01,5.0
T00000005,3,P00415,Deli,4.02,5.24,,1,5.24,0.01,5.23,,,5.23,5.24,0.01,5.0
T00000006,1,P00760,Dairy & Eggs,1.23,2.14,,1,2.14,0.01,2.13,,,2.13,2.14,0.01,6.0
T00000006,2,P00568,Dairy & Eggs,1.19,1.91,,1,1.91,0.01,1.9,,,1.9,1.91,0.01,6.0
T00000007,1,P00752,Condiments/Sauces/Spices,3.18,4.29,,1,4.29,-0.01,4.3,,,4.3,4.29,-0.01,7.0
T00000007,2,P00431,Frozen Foods,2.79,4.1,,1,4.1,-0.01,4.11,,,4.11,4.1,-0.01,7.0
T00000007,3,P00735,Meat and Seafood,6.0,10.74,,1,10.74,-0.02,10.76,,,10.76,10.74,-0.02,7.0
T00000008,1,P00965,Deli,3.91,6.44,,1,6.44,0.04,6.4,,,6.4,6.44,0.04,8.0
T00000008,2,P00666,Snacks/Cookies/Chips,1.61,2.43,,2,4.86,0.03,4.83,,,4.83,4.86,0.03,8.0
T00000008,3,P00880,Dairy & Eggs,1.79,2.35,,1,2.35,0.01,2.34,,,2.34,2.35,0.01,8.0
T00000008,4,P00714,Deli,2.98,4.66,,3,13.98,0.08,13.9,,,13.9,13.98,0.08,8.0
T00000008,5,P01123,Deli,3.09,4.95,,2,9.9,0.06,9.84,,,9.84,9.9,0.06,8.0
T00000009,1,P01296,Beverages,1.71,2.25,,1,2.25,0.0,2.25,,,2.25,2.25,0.0,9.0
