customer_id,week_start,WeekendVisit,days_since_last_visit,visits_last_4w,visits_last_12w,avg_spend_12w,median_spend_12w,avg_items_12w,avg_skus_12w,weekend_visits_12w,total_visits_12w,weekend_visits_share_12w,week_of_year
C000001,2025-07-07,0,0,2,2,15.13,15.13,4.0,2.0,0,2,0.0,28
C000001,2025-07-14,1,7,2,2,15.13,15.13,4.0,2.0,0,2,0.0,29
C000001,2025-07-21,0,3,4,4,23.26,23.26,4.5,3.0,2,4,0.5,30
C000001,2025-07-28,0,10,4,4,23.26,23.26,4.5,3.0,2,4,0.5,31
C000001,2025-08-04,0,17,2,4,23.26,23.26,4.5,3.0,2,4,0.5,32
C000001,2025-08-11,0,0,4,6,26.47,31.39,4.666666666666667,3.333333333333333,2,6,0.3333333333333333,33
C000001,2025-08-18,1,7,2,6,26.47,31.39,4.666666666666667,3.333333333333333,2,6,0.3333333333333333,34
C000002,2025-07-07,1,6,4,4,12.47,12.47,2.5,2.5,2,4,0.5,28
C000002,2025-07-14,0,3,7,7,13.972857142857142,9.56,2.571428571428572,2.2857142857142856,5,7,0.7142857142857143,29
C000002,2025-07-21,0,10,7,7,13.972857142857142,9.56,2.571428571428572,2.2857142857142856,5,7,0.7142857142857143,30
C000002,2025-07-28,0,17,7,7,13.972857142857142,9.56,2.571428571428572,2.2857142857142856,5,7,0.7142857142857143,31
C000002,2025-08-04,0,24,3,7,13.972857142857142,9.56,2.571428571428572,2.2857142857142856,5,7,0.7142857142857143,32
C000002,2025-08-11,0,1,4,11,17.013636363636365,14.09,2.909090909090909,2.727272727272727,5,11,0.4545454545454545,33
C000002,2025-08-18,0,0,8,15,17.280666666666665,14.09,2.933333333333333,2.8,5,15,0.3333333333333333,34
C000003,2025-07-07,0,3,2,2,4.65,4.65,1.0,1.0,0,2,0.0,28
C000003,2025-07-14,1,10,2,2,4.65,4.65,1.0,1.0,0,2,0.0,29
C000003,2025-07-21,0,5,4,4,20.74,20.74,4.5,4.0,2,4,0.5,30
C000003,2025-07-28,0,12,4,4,20.74,20.74,4.5,4.0,2,4,0.5,31
C000003,2025-08-04,0,19,2,4,20.74,20.74,4.5,4.0,2,4,0.5,32
C000003,2025-08-11,0,26,2,4,20.74,20.74,4.5,4.0,2,4,0.5,33
C000003,2025-08-18,0,33,0,4,20.74,20.74,4.5,4.0,2,4,0.5,34
C000004,2025-06-30,0,1,2,2,40.43,40.43,6.0,4.0,0,2,0.0,27
C000004,2025-07-07,1,2,4,4,37.54,37.54,4.0,2.5,0,4,0.0,28
C000004,2025-07-14,0,0,14,14,22.881428571428568,19.8,3.7142857142857135,3.142857142857143,6,14,0.4285714285714285,29
C000004,2025-07-21,0,1,17,17,21.373529411764707,19.8,3.4705882352941178,2.9411764705882355,6,17,0.3529411764705882,30
C000004,2025-07-28,0,8,15,17,21.373529411764707,19.8,3.4705882352941178,2.9411764705882355,6,17,0.3529411764705882,31
C000004,2025-08-04,1,2,15,19,21.00263157894737,18.6,3.526315789473684,3.0526315789473686,6,19,0.3157894736842105,32
C000004,2025-08-11,0,4,7,21,19.872857142857143,18.6,3.2857142857142856,2.857142857142857,8,21,0.3809523809523809,33
C000004,2025-08-18,0,1,6,23,19.83434782608696,18.6,3.5217391304347827,2.869565217391304,8,23,0.3478260869565217,34
C000005,2025-07-07,1,2,3,3,13.726666666666668,6.359999999999999,3.6666666666666665,2.6666666666666665,2,3,0.6666666666666666,28
C000005,2025-07-14,1,3,5,5,11.896,9.15,3.0,2.4,4,5,0.8,29
C000005,2025-07-21,0,1,11,11,14.632727272727273,9.15,3.727272727272727,3.090909090909091,6,11,0.5454545454545454,30
C000005,2025-07-28,0,8,11,11,14.632727272727273,9.15,3.727272727272727,3.090909090909091,6,11,0.5454545454545454,31
C000005,2025-08-04,0,15,8,11,14.632727272727273,9.15,3.727272727272727,3.090909090909091,6,11,0.5454545454545454,32
C000005,2025-08-11,1,22,6,11,14.632727272727273,9.15,3.727272727272727,3.090909090909091,6,11,0.5454545454545454,33
C000005,2025-08-18,0,1,4,15,16.458666666666666,16.67,4.466666666666667,3.333333333333333,8,15,0.5333333333333333,34
C000006,2025-07-07,0,4,2,2,1.86,1.86,1.0,1.0,2,2,1.0,28
C000006,2025-07-14,0,11,2,2,1.86,1.86,1.0,1.0,2,2,1.0,29
C000006,2025-07-21,1,18,2,2,1.86,1.86,1.0,1.0,2,2,1.0,30
C000006,2025-07-28,1,5,6,6,7.239999999999999,2.29,1.6666666666666667,1.0,4,6,0.6666666666666666,31
C000006,2025-08-04,0,4,8,10,7.959999999999999,8.43,1.8,1.2,8,10,0.8,32
C000006,2025-08-11,1,11,8,10,7.959999999999999,8.43,1.8,1.2,8,10,0.8,33
C000006,2025-08-18,1,3,11,13,15.732307692307693,9.65,2.6153846153846154,1.8461538461538465,9,13,0.6923076923076923,34
C000007,2025-07-07,0,4,1,1,10.95,10.95,4.0,2.0,1,1,1.0,28
C000007,2025-07-14,1,11,1,1,10.95,10.95,4.0,2.0,1,1,1.0,29
C000007,2025-07-21,0,5,3,3,45.01,62.04,6.0,4.0,3,3,1.0,30
C000007,2025-07-28,0,1,5,5,32.954,14.87,4.4,3.2,3,5,0.6,31
C000007,2025-08-04,1,6,6,7,24.735714285714288,14.87,3.4285714285714284,2.571428571428572,3,7,0.4285714285714285,32
C000007,2025-08-11,0,5,8,9,24.75,14.87,3.333333333333333,2.6666666666666665,5,9,0.5555555555555556,33
C000007,2025-08-18,0,12,6,9,24.75,14.87,3.333333333333333,2.6666666666666665,5,9,0.5555555555555556,34
C000008,2025-07-07,0,6,2,2,43.4,43.4,7.0,5.0,0,2,0.0,28
C000008,2025-07-14,0,2,6,6,26.35,19.99,4.0,3.0,0,6,0.0,29
C000008,2025-07-21,1,9,6,6,26.35,19.99,4.0,3.0,0,6,0.0,30
C000008,2025-07-28,0,0,10,10,30.974,20.95,4.4,3.0,2,10,0.2,31
C000008,2025-08-04,0,7,8,10,30.974,20.95,4.4,3.0,2,10,0.2,32
C000008,2025-08-11,1,14,4,10,30.974,20.95,4.4,3.0,2,10,0.2,33
C000008,2025-08-18,0,5,6,12,26.69833333333333,20.47,3.8333333333333335,2.6666666666666665,4,12,0.3333333333333333,34
C000009,2025-07-21,0,3,4,4,29.83,29.83,5.5,4.0,2,4,0.5,30
C000009,2025-07-28,1,10,4,4,29.83,29.83,5.5,4.0,2,4,0.5,31
C000009,2025-08-04,0,4,6,6,23.02,26.87,4.666666666666667,3.6666666666666665,4,6,0.6666666666666666,32
C000009,2025-08-11,1,11,6,6,23.02,26.87,4.666666666666667,3.6666666666666665,4,6,0.6666666666666666,33
C000009,2025-08-18,0,3,4,8,30.9275,29.83,5.0,4.0,6,8,0.75,34
C000010,2025-07-07,1,5,2,2,6.86,6.86,2.0,2.0,2,2,1.0,28
C000010,2025-07-14,0,3,3,3,10.356666666666667,6.86,2.6666666666666665,2.333333333333333,3,3,1.0,29
C000010,2025-07-21,1,10,3,3,10.356666666666667,6.86,2.6666666666666665,2.333333333333333,3,3,1.0,30
C000010,2025-07-28,0,4,5,5,8.078,6.86,2.0,1.8,5,5,1.0,31
