date,store_id,category,avg_price,units_sold,revenue,day_of_week
2025-01-01,1,Alcohol,12.492666666666667,27,330.01,Wednesday
2025-01-01,1,Bakery,4.123888888888889,27,113.81,Wednesday
2025-01-01,1,Baking,3.7492307692307696,21,73.81,Wednesday
2025-01-01,1,Beverages,3.329473684210526,31,98.61,Wednesday
2025-01-01,1,Breakfast & Cereal,4.950833333333333,18,89.93,Wednesday
2025-01-01,1,Candy,2.3850000000000002,23,52.66,Wednesday
2025-01-01,1,Condiments/Sauces/Spices,3.8658333333333332,19,74.48,Wednesday
2025-01-01,1,Dairy & Eggs,3.855,26,102.78,Wednesday
2025-01-01,1,Deli,5.844375,27,139.41,Wednesday
2025-01-01,1,Frozen Foods,6.163125,21,129.43,Wednesday
2025-01-01,1,Grains and Pasta,2.7773684210526315,31,59.32,Wednesday
2025-01-01,1,Meat and Seafood,9.275454545454545,15,135.27,Wednesday
2025-01-01,1,Pet Food,7.168,28,196.97,Wednesday
2025-01-01,1,Prepared Meals,8.391578947368421,28,232.57999999999998,Wednesday
2025-01-01,1,Snacks/Cookies/Chips,2.810769230769231,21,59.86,Wednesday
2025-01-01,2,Alcohol,11.66157894736842,32,371.83,Wednesday
2025-01-01,2,Bakery,3.898,21,85.53999999999999,Wednesday
2025-01-01,2,Baking,3.8018181818181818,16,59.02,Wednesday
2025-01-01,2,Beverages,3.4578947368421056,33,116.99,Wednesday
2025-01-01,2,Breakfast & Cereal,4.592499999999999,32,146.83,Wednesday
2025-01-01,2,Candy,2.56,35,89.91,Wednesday
2025-01-01,2,Condiments/Sauces/Spices,4.162,33,138.0,Wednesday
2025-01-01,2,Dairy & Eggs,3.928,26,93.38,Wednesday
2025-01-01,2,Deli,6.196666666666667,22,125.97,Wednesday
2025-01-01,2,Frozen Foods,7.1416666666666675,26,181.43,Wednesday
2025-01-01,2,Grains and Pasta,2.927142857142857,34,68.71000000000001,Wednesday
2025-01-01,2,Meat and Seafood,10.023157894736842,25,253.06,Wednesday
2025-01-01,2,Pet Food,7.753181818181818,33,259.74,Wednesday
2025-01-01,2,Prepared Meals,7.84125,38,296.68,Wednesday
2025-01-01,2,Snacks/Cookies/Chips,3.4705,37,129.07999999999998,Wednesday
2025-01-01,3,Alcohol,12.757894736842106,39,471.22,Wednesday
2025-01-01,3,Bakery,4.095,28,98.91,Wednesday
2025-01-01,3,Baking,3.733913043478261,35,91.41,Wednesday
2025-01-01,3,Beverages,3.3449999999999998,27,87.97999999999999,Wednesday
2025-01-01,3,Breakfast & Cereal,4.8711111111111105,34,164.46,Wednesday
2025-01-01,3,Candy,2.3513333333333337,26,60.57,Wednesday
2025-01-01,3,Condiments/Sauces/Spices,3.771,16,46.13,Wednesday
2025-01-01,3,Dairy & Eggs,3.4321052631578945,32,112.99,Wednesday
2025-01-01,3,Deli,5.705882352941177,24,123.58,Wednesday
2025-01-01,3,Frozen Foods,6.295,26,159.12,Wednesday
2025-01-01,3,Grains and Pasta,2.6142105263157895,28,51.7,Wednesday
2025-01-01,3,Meat and Seafood,9.970666666666666,28,273.35,Wednesday
