product_id,product_name,brand,category,subcategory,unit_size,price,unit_cost
P00001,Mancino Pasta 32 oz,Mancino,Grains and Pasta,Pasta,32 oz,2.83,2.07
P00002,Empire Juice 12 oz,Empire,Beverages,Juice,12 oz,2.9,2.03
P00003,Chelsea Star Pasta 2 lb,Chelsea Star,Grains and Pasta,Pasta,2 lb,2.36,1.33
P00004,Hudson Valley Beer 24 oz,Hudson Valley,Alcohol,Beer,24 oz,11.32,8.68
P00005,Chelsea Star Tea 8 oz,Chelsea Star,Beverages,Tea,8 oz,4.45,2.47
P00006,Nolita Fresh Cold Cuts 12 pack,Nolita Fresh,Deli,Cold Cuts,12 pack,7.27,5.76
P00007,Parkside Mustard 1 ct,Parkside,Condiments/Sauces/Spices,Mustard,1 ct,3.11,1.85
P00008,Empire Cereal 2 lb,Empire,Breakfast & Cereal,Cereal,2 lb,5.15,3.07
P00009,Empire Hard Candy 24 oz,Empire,Candy,Hard Candy,24 oz,2.66,1.75
P00010,Hudson Valley Bowls 12 oz,Hudson Valley,Prepared Meals,Bowls,12 oz,4.96,3.09
P00011,GreenLeaf Ketchup 1 lb,GreenLeaf,Condiments/Sauces/Spices,Ketchup,1 lb,2.72,1.69
P00012,Mancino Ice Cream 6 pack,Mancino,Frozen Foods,Ice Cream,6 pack,7.03,4.51
P00013,Harbor View Cold Cuts 12 oz,Harbor View,Deli,Cold Cuts,12 oz,8.66,5.2
P00014,Village Choice Cheese 1 ct,Village Choice,Deli,Cheese,1 ct,5.67,3.85
P00015,Chelsea Star Cat Food 24 oz,Chelsea Star,Pet Food,Cat Food,24 oz,6.11,4.29
P00016,Mancino Beef 24 oz,Mancino,Meat and Seafood,Beef,24 oz,9.25,5.48
P00017,Hudson Valley Bowls 24 oz,Hudson Valley,Prepared Meals,Bowls,24 oz,6.88,4.96
P00018,Harbor View Chips 32 oz,Harbor View,Snacks/Cookies/Chips,Chips,32 oz,2.79,1.84
P00019,Empire Yogurt 1 lb,Empire,Dairy & Eggs,Yogurt,1 lb,3.49,1.95
P00020,Village Choice Gummies 32 oz,Village Choice,Candy,Gummies,32 oz,1.92,1.49
P00021,Chelsea Star Beef 16 oz,Chelsea Star,Meat and Seafood,Beef,16 oz,11.05,6.94
P00022,Gotham Prepared 16 oz,Gotham,Deli,Prepared,16 oz,4.42,3.01
P00023,Rivertown Butter 12 pack,Rivertown,Dairy & Eggs,Butter,12 pack,2.51,1.99
P00024,GreenLeaf Coffee 8 oz,GreenLeaf,Beverages,Coffee,8 oz,3.15,2.34
P00025,GreenLeaf Soda 2 lb,GreenLeaf,Beverages,Soda,2 lb,3.61,2.07
P00026,Gotham Cereal 1 ct,Gotham,Breakfast & Cereal,Cereal,1 ct,4.7,2.82
P00027,GreenLeaf Treats 24 oz,GreenLeaf,Pet Food,Treats,24 oz,6.8,4.4
P00028,Harbor View Noodles 6 pack,Harbor View,Grains and Pasta,Noodles,6 pack,2.32,1.43
P00029,Empire Baking Mix 24 oz,Empire,Baking,Baking Mix,24 oz,3.12,1.94
P00030,NoHo Co Shrimp 32 oz,NoHo Co,Meat and Seafood,Shrimp,32 oz,11.72,8.04
P00031,Harbor View Shrimp 1 ct,Harbor View,Meat and Seafood,Shrimp,1 ct,9.76,5.55
P00032,Gotham Hot Sauce 16 oz,Gotham,Condiments/Sauces/Spices,Hot Sauce,16 oz,3.18,2.53
P00033,Hudson Valley Cheese 8 oz,Hudson Valley,Deli,Cheese,8 oz,5.07,2.8
P00034,Empire Chips 16 oz,Empire,Snacks/Cookies/Chips,Chips,16 oz,3.5,2.64
P00035,Chelsea Star Soups 12 oz,Chelsea Star,Prepared Meals,Soups,12 oz,10.35,7.69
P00036,Chelsea Star Soy Sauce 6 pack,Chelsea Star,Condiments/Sauces/Spices,Soy Sauce,6 pack,4.42,2.51
P00037,NoHo Co Cheese 8 oz,NoHo Co,Deli,Cheese,8 oz,4.86,3.72
P00038,Village Choice Pasta 12 pack,Village Choice,Grains and Pasta,Pasta,12 pack,2.31,1.63
P00039,Village Choice Bowls 1 lb,Village Choice,Prepared Meals,Bowls,1 lb,7.1,4.46
P00040,Harbor View Pastries 16 oz,Harbor View,Bakery,Pastries,16 oz,3.82,2.41
P00041,Nolita Fresh Milk 32 oz,Nolita Fresh,Dairy & Eggs,Milk,32 oz,4.29,3.31
P00042,NoHo Co Cold Cuts 12 oz,NoHo Co,Deli,Cold Cuts,12 oz,8.42,5.63
P00043,Village Choice Cookies 12 pack,Village Choice,Snacks/Cookies/Chips,Cookies,12 pack,3.28,2.43
P00044,Empire Veggies 1 lb,Empire,Frozen Foods,Veggies,1 lb,5.53,3.82
P00045,NoHo Co Wraps 12 pack,NoHo Co,Prepared Meals,Wraps,12 pack,7.93,5.4
P00046,Chelsea Star Dog Food 1 lb,Chelsea Star,Pet Food,Dog Food,1 lb,10.35,6.8
P00047,Hudson Valley Milk 1 lb,Hudson Valley,Dairy & Eggs,Milk,1 lb,3.58,2.25
P00048,Gotham Cat Food 8 oz,Gotham,Pet Food,Cat Food,8 oz,6.5,4.4
P00049,Hudson Valley Tea 12 oz,Hudson Valley,Beverages,Tea,12 oz,2.84,1.85
P00050,Hudson Valley Fish 12 pack,Hudson Valley,Meat and Seafood,Fish,12 pack,9.84,7.27
P00051,Empire Wraps 6 pack,Empire,Prepared Meals,Wraps,6 pack,6.54,5.12
P00052,Rivertown Cold Cuts 12 pack,Rivertown,Deli,Cold Cuts,12 pack,5.29,3.98
P00053,Harbor View Nuts 24 oz,Harbor View,Snacks/Cookies/Chips,Nuts,24 oz,3.77,2.83
P00054,Nolita Fresh Treats 24 oz,Nolita Fresh,Pet Food,Treats,24 oz,7.6,4.53
P00055,Harbor View Pork 1 lb,Harbor View,Meat and Seafood,Pork,1 lb,9.22,6.93
P00056,Parkside Eggs 12 oz,Parkside,Dairy & Eggs,Eggs,12 oz,4.46,3.45
P00057,Hudson Valley Juice 1 lb,Hudson Valley,Beverages,Juice,1 lb,2.52,1.53
P00058,NoHo Co Spirits 24 oz,NoHo Co,Alcohol,Spirits,24 oz,11.06,7.26
P00059,Mancino Veggies 12 oz,Mancino,Frozen Foods,Veggies,12 oz,7.0,3.86
P00060,Gotham Beef 12 oz,Gotham,Meat and Seafood,Beef,12 oz,9.61,6.51
P00061,GreenLeaf Dog Food 12 oz,GreenLeaf,Pet Food,Dog Food,12 oz,4.91,2.85
P00062,Rivertown Cold Cuts 6 pack,Rivertown,Deli,Cold Cuts,6 pack,5.4,3.43
P00063,Empire Tea 1 ct,Empire,Beverages,Tea,1 ct,2.88,1.96
P00064,Gotham Meals 6 pack,Gotham,Frozen Foods,Meals,6 pack,7.19,5.22
P00065,Gotham Soups 12 oz,Gotham,Prepared Meals,Soups,12 oz,8.53,6.74
P00066,GreenLeaf Cakes 2 lb,GreenLeaf,Bakery,Cakes,2 lb,3.93,2.41
P00067,Nolita Fresh Soy Sauce 8 oz,Nolita Fresh,Condiments/Sauces/Spices,Soy Sauce,8 oz,2.17,1.35
P00068,Mancino Pasta 2 lb,Mancino,Grains and Pasta,Pasta,2 lb,2.48,1.39
P00069,Hudson Valley Pork 24 oz,Hudson Valley,Meat and Seafood,Pork,24 oz,9.14,5.14
P00070,NoHo Co Juice 6 pack,NoHo Co,Beverages,Juice,6 pack,5.55,3.44
P00071,Empire Yeast 32 oz,Empire,Baking,Yeast,32 oz,3.34,1.96
P00072,Hudson Valley Cheese 6 pack,Hudson Valley,Dairy & Eggs,Cheese,6 pack,3.77,2.53
P00073,Mancino Salads 12 pack,Mancino,Prepared Meals,Salads,12 pack,10.65,6.49
P00074,Hudson Valley Chips 24 oz,Hudson Valley,Snacks/Cookies/Chips,Chips,24 oz,3.62,2.65
P00075,Parkside Yeast 6 pack,Parkside,Baking,Yeast,6 pack,4.97,3.52
P00076,Mancino Energy Drinks 16 oz,Mancino,Beverages,Energy Drinks,16 oz,2.11,1.44
P00077,Harbor View Ketchup 32 oz,Harbor View,Condiments/Sauces/Spices,Ketchup,32 oz,2.73,1.53
P00078,Rivertown Cat Food 2 lb,Rivertown,Pet Food,Cat Food,2 lb,6.08,4.24
P00079,Village Choice Shrimp 6 pack,Village Choice,Meat and Seafood,Shrimp,6 pack,6.11,4.35
P00080,Rivertown Sugar 24 oz,Rivertown,Baking,Sugar,24 oz,3.56,2.11
P00081,Nolita Fresh Spirits 12 pack,Nolita Fresh,Alcohol,Spirits,12 pack,9.54,7.48
P00082,GreenLeaf Spirits 8 oz,GreenLeaf,Alcohol,Spirits,8 oz,17.68,10.33
P00083,Parkside Spirits 12 pack,Parkside,Alcohol,Spirits,12 pack,9.87,7.71
P00084,Empire Treats 8 oz,Empire,Pet Food,Treats,8 oz,6.46,4.97
P00085,Empire Cold Cuts 12 oz,Empire,Deli,Cold Cuts,12 oz,7.35,5.54
P00086,Village Choice Pizza 24 oz,Village Choice,Frozen Foods,Pizza,24 oz,4.78,3.29
P00087,Chelsea Star Ketchup 24 oz,Chelsea Star,Condiments/Sauces/Spices,Ketchup,24 oz,2.34,1.34
P00088,Chelsea Star Pizza 12 oz,Chelsea Star,Frozen Foods,Pizza,12 oz,6.81,5.27
P00089,Chelsea Star Spices 12 pack,Chelsea Star,Condiments/Sauces/Spices,Spices,12 pack,3.73,2.37
P00090,Gotham Hard Candy 1 lb,Gotham,Candy,Hard Candy,1 lb,3.04,1.94
P00091,Harbor View Water 16 oz,Harbor View,Beverages,Water,16 oz,3.42,2.64
P00092,Parkside Quinoa 1 lb,Parkside,Grains and Pasta,Quinoa,1 lb,2.69,2.0
P00093,Mancino Dog Food 6 pack,Mancino,Pet Food,Dog Food,6 pack,5.91,3.49
P00094,Hudson Valley Pizza 12 pack,Hudson Valley,Frozen Foods,Pizza,12 pack,6.89,5.34
P00095,Rivertown Tea 16 oz,Rivertown,Beverages,Tea,16 oz,3.23,1.78
P00096,Hudson Valley Cat Food 24 oz,Hudson Valley,Pet Food,Cat Food,24 oz,5.86,3.46
P00097,Empire Hard Candy 6 pack,Empire,Candy,Hard Candy,6 pack,3.99,2.84
P00098,Nolita Fresh Nuts 32 oz,Nolita Fresh,Snacks/Cookies/Chips,Nuts,32 oz,3.38,2.05
P00099,Village Choice Pizza 12 pack,Village Choice,Frozen Foods,Pizza,12 pack,5.09,3.21
P00100,Empire Cereal 32 oz,Empire,Breakfast & Cereal,Cereal,32 oz,5.48,4.04
P00101,Nolita Fresh Bread 12 pack,Nolita Fresh,Bakery,Bread,12 pack,5.09,3.64
P00102,Rivertown Baking Mix 1 ct,Rivertown,Baking,Baking Mix,1 ct,3.88,2.69
P00103,GreenLeaf Coffee 24 oz,GreenLeaf,Beverages,Coffee,24 oz,2.82,1.74
P00104,NoHo Co Quinoa 6 pack,NoHo Co,Grains and Pasta,Quinoa,6 pack,2.07,1.26
P00105,Hudson Valley Cereal 2 lb,Hudson Valley,Breakfast & Cereal,Cereal,2 lb,4.41,3.41
P00106,Mancino Cookies 8 oz,Mancino,Snacks/Cookies/Chips,Cookies,8 oz,3.27,2.31
P00107,Village Choice Gummies 32 oz,Village Choice,Candy,Gummies,32 oz,2.51,1.74
P00108,NoHo Co Yeast 2 lb,NoHo Co,Baking,Yeast,2 lb,5.03,3.39
P00109,Hudson Valley Cold Cuts 12 oz,Hudson Valley,Deli,Cold Cuts,12 oz,7.02,4.35
P00110,Empire Treats 12 pack,Empire,Pet Food,Treats,12 pack,5.65,3.14
P00111,Chelsea Star Wine 12 pack,Chelsea Star,Alcohol,Wine,12 pack,9.18,7.21
P00112,Empire Yeast 8 oz,Empire,Baking,Yeast,8 oz,3.95,3.11
P00113,Mancino Granola 1 lb,Mancino,Breakfast & Cereal,Granola,1 lb,4.26,2.36
P00114,Gotham Coffee 12 oz,Gotham,Beverages,Coffee,12 oz,3.59,2.81
P00115,Chelsea Star Mints 16 oz,Chelsea Star,Candy,Mints,16 oz,2.81,2.22
P00116,Empire Dog Food 16 oz,Empire,Pet Food,Dog Food,16 oz,6.87,5.24
P00117,Mancino Cat Food 16 oz,Mancino,Pet Food,Cat Food,16 oz,5.66,4.32
P00118,Harbor View Pork 24 oz,Harbor View,Meat and Seafood,Pork,24 oz,6.16,3.88
P00119,Nolita Fresh Oatmeal 12 oz,Nolita Fresh,Breakfast & Cereal,Oatmeal,12 oz,4.75,3.72
P00120,Parkside Ketchup 24 oz,Parkside,Condiments/Sauces/Spices,Ketchup,24 oz,2.56,1.85
P00121,GreenLeaf Energy Drinks 32 oz,GreenLeaf,Beverages,Energy Drinks,32 oz,2.41,1.7
P00122,Gotham Crackers 8 oz,Gotham,Snacks/Cookies/Chips,Crackers,8 oz,3.12,2.49
P00123,Harbor View Rice 1 lb,Harbor View,Grains and Pasta,Rice,1 lb,2.54,1.95
P00124,Rivertown Cereal 1 lb,Rivertown,Breakfast & Cereal,Cereal,1 lb,3.38,2.48
P00125,Village Choice Noodles 12 pack,Village Choice,Grains and Pasta,Noodles,12 pack,3.28,2.1
P00126,Hudson Valley Chocolate 32 oz,Hudson Valley,Candy,Chocolate,32 oz,3.25,2.03
P00127,Mancino Baking Mix 12 oz,Mancino,Baking,Baking Mix,12 oz,3.98,3.05
P00128,GreenLeaf Meals 1 lb,GreenLeaf,Frozen Foods,Meals,1 lb,7.39,5.75
P00129,NoHo Co Spices 12 oz,NoHo Co,Condiments/Sauces/Spices,Spices,12 oz,3.98,2.98
P00130,Gotham Spices 32 oz,Gotham,Condiments/Sauces/Spices,Spices,32 oz,9.17,6.53
P00131,Harbor View Spirits 8 oz,Harbor View,Alcohol,Spirits,8 oz,15.23,11.77
P00132,Village Choice Prepared 24 oz,Village Choice,Deli,Prepared,24 oz,7.06,4.48
P00133,Hudson Valley Mints 1 lb,Hudson Valley,Candy,Mints,1 lb,2.06,1.43
P00134,Village Choice Ice Cream 12 oz,Village Choice,Frozen Foods,Ice Cream,12 oz,6.13,3.43
P00135,NoHo Co Pork 32 oz,NoHo Co,Meat and Seafood,Pork,32 oz,16.05,9.98
P00136,GreenLeaf Noodles 2 lb,GreenLeaf,Grains and Pasta,Noodles,2 lb,1.57,1.1
P00137,NoHo Co Pork 16 oz,NoHo Co,Meat and Seafood,Pork,16 oz,8.0,4.65
P00138,Village Choice Energy Drinks 2 lb,Village Choice,Beverages,Energy Drinks,2 lb,3.94,2.68
P00139,Chelsea Star Rice 1 ct,Chelsea Star,Grains and Pasta,Rice,1 ct,2.09,1.47
P00140,NoHo Co Bars 8 oz,NoHo Co,Breakfast & Cereal,Bars,8 oz,5.33,3.05
P00141,Gotham Granola 2 lb,Gotham,Breakfast & Cereal,Granola,2 lb,4.55,3.12
P00142,Parkside Bowls 6 pack,Parkside,Prepared Meals,Bowls,6 pack,6.8,4.82
P00143,NoHo Co Cheese 6 pack,NoHo Co,Dairy & Eggs,Cheese,6 pack,2.11,1.58
P00144,Village Choice Wraps 12 oz,Village Choice,Prepared Meals,Wraps,12 oz,8.38,5.18
P00145,Hudson Valley Granola 24 oz,Hudson Valley,Breakfast & Cereal,Granola,24 oz,3.69,2.05
P00146,Gotham Quinoa 24 oz,Gotham,Grains and Pasta,Quinoa,24 oz,2.43,1.92
