promotion_id,product_id
PR-2024-12-29-004,P00447
PR-2024-12-29-004,P00111
PR-2024-12-29-004,P00949
PR-2024-12-29-004,P00321
PR-2024-12-29-004,P00528
PR-2024-12-29-004,P00763
PR-2024-12-29-004,P00344
PR-2024-12-29-004,P00936
PR-2024-12-29-004,P00291
PR-2024-12-29-004,P00969
PR-2024-12-29-004,P00564
PR-2024-12-29-004,P01406
PR-2024-12-29-004,P01200
PR-2024-12-29-004,P00409
PR-2024-12-29-004,P00274
PR-2024-12-29-004,P00992
PR-2024-12-29-004,P01309
PR-2024-12-29-004,P01160
PR-2024-12-29-004,P00410
PR-2024-12-29-004,P00705
PR-2024-12-29-004,P00258
PR-2024-12-29-004,P00948
PR-2024-12-29-004,P00183
PR-2024-12-29-004,P00959
PR-2024-12-29-004,P00170
PR-2024-12-29-005,P00937
PR-2024-12-29-005,P01109
PR-2024-12-29-005,P00935
PR-2024-12-29-005,P00686
PR-2024-12-29-005,P00561
PR-2024-12-29-005,P00518
PR-2024-12-29-005,P00402
PR-2024-12-29-005,P01345
PR-2024-12-29-005,P01385
PR-2024-12-29-005,P00261
PR-2024-12-29-005,P01078
PR-2024-12-29-005,P01391
PR-2024-12-29-005,P00997
PR-2024-12-29-005,P00979
PR-2024-12-29-005,P00594
PR-2024-12-29-005,P00929
PR-2024-12-29-005,P00549
PR-2024-12-29-005,P01216
PR-2024-12-29-005,P00251
PR-2024-12-29-005,P00304
PR-2024-12-29-005,P00983
PR-2024-12-29-005,P00882
PR-2024-12-29-005,P00398
PR-2024-12-29-005,P01246
PR-2025-01-05-007,P01375
PR-2025-01-05-007,P01344
PR-2025-01-05-007,P00198
PR-2025-01-05-007,P00133
PR-2025-01-05-007,P01438
PR-2025-01-05-007,P01499
PR-2025-01-05-007,P00619
PR-2025-01-05-007,P01240
PR-2025-01-05-007,P01052
PR-2025-01-05-007,P01368
PR-2025-01-05-007,P00849
PR-2025-01-05-007,P00595
PR-2025-01-05-007,P00778
PR-2025-01-05-007,P00680
PR-2025-01-05-007,P00090
PR-2025-01-05-007,P00889
PR-2025-01-05-007,P00691
PR-2025-01-05-007,P00380
PR-2025-01-05-007,P01174
PR-2025-01-05-007,P00306
PR-2025-01-05-007,P00939
PR-2025-01-05-007,P01454
PR-2025-01-05-007,P00421
PR-2025-01-05-007,P01360
PR-2025-01-05-008,P00285
PR-2025-01-05-008,P00828
PR-2025-01-05-008,P00753
PR-2025-01-05-008,P01036
PR-2025-01-05-008,P00542
PR-2025-01-05-008,P00250
PR-2025-01-05-008,P00801
PR-2025-01-05-008,P01470
PR-2025-01-05-008,P01469
PR-2025-01-05-008,P00787
PR-2025-01-05-008,P00720
PR-2025-01-05-008,P00735
PR-2025-01-05-008,P00429
PR-2025-01-05-008,P00264
PR-2025-01-05-008,P00135
PR-2025-01-05-008,P00292
PR-2025-01-05-008,P01263
PR-2025-01-05-008,P01270
PR-2025-01-05-008,P01192
PR-2025-01-05-008,P00021
PR-2025-01-05-008,P00894
PR-2025-01-05-008,P01105
PR-2025-01-05-008,P00298
PR-2025-01-05-008,P00477
PR-2025-01-05-009,P01102
PR-2025-01-05-009,P00579
PR-2025-01-05-009,P00280
PR-2025-01-05-009,P01320
PR-2025-01-05-009,P00989
PR-2025-01-05-009,P01171
PR-2025-01-05-009,P01214
PR-2025-01-05-009,P01258
PR-2025-01-05-009,P00106
PR-2025-01-05-009,P00917
PR-2025-01-05-009,P01305
PR-2025-01-05-009,P01101
PR-2025-01-05-009,P00769
PR-2025-01-05-009,P01324
PR-2025-01-05-009,P00807
PR-2025-01-05-009,P01411
PR-2025-01-05-009,P00203
PR-2025-01-05-009,P00954
PR-2025-01-05-009,P01201
PR-2025-01-05-009,P01236
PR-2025-01-05-009,P00122
PR-2025-01-05-009,P00349
PR-2025-01-05-009,P00169
PR-2025-01-05-009,P00355
PR-2025-01-05-009,P00879
PR-2025-01-05-012,P00956
PR-2025-01-05-012,P00599
PR-2025-01-05-012,P00764
PR-2025-01-05-012,P00194
PR-2025-01-05-012,P00188
PR-2025-01-05-012,P01413
PR-2025-01-05-012,P00770
PR-2025-01-05-012,P00751
PR-2025-01-05-012,P00767
PR-2025-01-05-012,P01443
PR-2025-01-05-012,P00546
PR-2025-01-05-012,P00155
PR-2025-01-05-012,P00233
PR-2025-01-05-012,P00184
PR-2025-01-05-012,P01218
PR-2025-01-05-012,P00589
PR-2025-01-05-012,P01208
PR-2025-01-05-012,P00485
PR-2025-01-05-012,P01420
PR-2025-01-05-012,P01074
PR-2025-01-05-012,P00239
PR-2025-01-05-012,P00817
PR-2025-01-05-012,P00035
PR-2025-01-05-012,P00336
PR-2025-01-05-012,P00826
PR-2025-01-05-012,P01479
PR-2025-01-05-012,P01402
PR-2025-01-05-012,P01286
PR-2025-01-05-012,P00839
PR-2025-01-05-012,P00039
PR-2025-01-12-013,P00871
PR-2025-01-12-013,P00881
PR-2025-01-12-013,P01307
PR-2025-01-12-013,P00831
PR-2025-01-12-013,P00531
PR-2025-01-12-013,P01068
PR-2025-01-12-013,P00342
PR-2025-01-12-013,P01033
PR-2025-01-12-013,P01335
PR-2025-01-12-013,P01314
PR-2025-01-12-013,P01265
PR-2025-01-12-013,P00313
PR-2025-01-12-013,P00347
PR-2025-01-12-013,P00672
PR-2025-01-12-013,P01212
PR-2025-01-12-013,P00343
PR-2025-01-12-013,P00314
PR-2025-01-12-013,P00852
PR-2025-01-12-013,P00815
PR-2025-01-12-013,P00606
PR-2025-01-12-013,P01186
