promotion_id,store_id
PR-2024-12-29-001,3
PR-2024-12-29-002,3
PR-2024-12-29-005,3
PR-2025-01-05-007,3
PR-2025-01-05-008,3
PR-2025-01-05-009,3
PR-2025-01-12-015,3
PR-2025-01-12-017,3
PR-2025-01-12-018,3
PR-2025-01-19-019,5
PR-2025-01-19-021,5
PR-2025-01-19-023,5
PR-2025-01-19-024,5
PR-2025-01-26-025,2
PR-2025-01-26-026,2
PR-2025-01-26-028,2
PR-2025-01-26-029,2
PR-2025-01-26-030,2
PR-2025-02-02-031,3
PR-2025-02-02-033,3
PR-2025-02-02-035,3
PR-2025-02-09-037,1
PR-2025-02-09-041,1
PR-2025-02-09-042,1
PR-2025-02-16-043,3
PR-2025-02-16-045,3
PR-2025-02-16-048,3
PR-2025-02-23-049,5
PR-2025-02-23-051,5
PR-2025-02-23-052,5
PR-2025-02-23-054,5
PR-2025-03-02-057,5
PR-2025-03-02-058,5
PR-2025-03-02-059,5
PR-2025-03-02-060,5
PR-2025-03-09-061,5
PR-2025-03-09-062,5
PR-2025-03-09-063,5
PR-2025-03-09-064,5
PR-2025-03-09-065,5
PR-2025-03-16-067,2
PR-2025-03-16-068,2
PR-2025-03-16-071,2
PR-2025-03-23-073,3
PR-2025-03-23-075,3
PR-2025-03-23-076,3
PR-2025-03-23-078,3
PR-2025-03-30-083,4
PR-2025-03-30-084,4
PR-2025-04-06-085,2
PR-2025-04-06-087,2
PR-2025-04-06-089,2
PR-2025-04-06-090,2
PR-2025-04-13-091,3
PR-2025-04-13-093,3
PR-2025-04-13-094,3
PR-2025-04-20-097,3
PR-2025-04-20-099,3
PR-2025-04-20-101,3
PR-2025-04-27-103,3
PR-2025-04-27-104,3
PR-2025-04-27-105,3
PR-2025-04-27-106,3
PR-2025-04-27-107,3
PR-2025-04-27-108,3
PR-2025-05-04-109,3
PR-2025-05-04-111,3
PR-2025-05-04-113,3
PR-2025-05-04-114,3
PR-2025-05-11-118,5
PR-2025-05-11-120,5
PR-2025-05-18-121,4
PR-2025-05-18-124,4
PR-2025-05-18-126,4
PR-2025-05-25-127,3
PR-2025-05-25-129,3
PR-2025-05-25-131,3
PR-2025-05-25-132,3
PR-2025-06-01-133,5
PR-2025-06-01-134,5
PR-2025-06-01-135,5
PR-2025-06-01-138,5
PR-2025-06-08-143,5
PR-2025-06-08-144,5
PR-2025-06-15-145,5
PR-2025-06-15-148,5
PR-2025-06-15-149,5
PR-2025-06-15-150,5
PR-2025-06-22-154,1
PR-2025-06-22-155,1
PR-2025-06-22-156,1
PR-2025-06-29-158,4
PR-2025-06-29-160,4
PR-2025-06-29-161,4
PR-2025-07-06-165,5
PR-2025-07-06-166,5
PR-2025-07-13-170,1
PR-2025-07-13-172,1
PR-2025-07-13-173,1
PR-2025-07-20-175,1
PR-2025-07-20-177,1
PR-2025-07-20-179,1
PR-2025-07-27-181,2
PR-2025-07-27-183,2
PR-2025-07-27-186,2
PR-2025-08-03-188,1
PR-2025-08-03-189,1
PR-2025-08-03-190,1
PR-2025-08-03-191,1
PR-2025-08-10-193,5
PR-2025-08-10-194,5
PR-2025-08-10-195,5
PR-2025-08-10-196,5
PR-2025-08-10-198,5
PR-2025-08-17-200,4
PR-2025-08-17-201,4
PR-2025-08-17-203,4
PR-2025-08-24-205,2
PR-2025-08-24-208,2
PR-2025-08-24-209,2
PR-2025-08-24-210,2
PR-2025-08-31-212,2
PR-2025-08-31-213,2
PR-2025-08-31-214,2
PR-2025-09-07-217,5
PR-2025-09-07-218,5
PR-2025-09-07-219,5
PR-2025-09-07-222,5
PR-2025-09-14-223,3
PR-2025-09-14-225,3
PR-2025-09-14-227,3
PR-2025-09-14-228,3
PR-2025-09-21-230,2
PR-2025-09-21-231,2
PR-2025-09-21-232,2
PR-2025-09-21-233,2
PR-2025-09-28-236,1
PR-2025-09-28-237,1
PR-2025-09-28-239,1
PR-2025-10-05-242,1
PR-2025-10-05-244,1
PR-2025-10-12-247,2
PR-2025-10-12-249,2
PR-2025-10-12-250,2
PR-2025-10-12-251,2
PR-2025-10-19-253,5
PR-2025-10-26-259,4
PR-2025-10-26-262,4
PR-2025-10-26-263,4
