bundle_qty,buy_qty,can_stack,category,end_date,get_qty,get_type,mechanic,name,percent_off,priority,promotion_id,scope_type,start_date
,,FALSE,Baking,2025-01-04,,,COUPON,COUPON Baking 2024-12-29,30,3,PR-2024-12-29-001,CATEGORY,2024-12-29
,,FALSE,Condiments/Sauces/Spices,2025-01-04,,,COUPON,COUPON Condiments/Sauces/Spices 2024-12-29,25,1,PR-2024-12-29-002,CATEGORY,2024-12-29
,,FALSE,Grains and Pasta,2025-01-04,,,MANAGER_SPECIAL,MANAGER_SPECIAL Grains and Pasta 2024-12-29,30,1,PR-2024-12-29-003,CATEGORY,2024-12-29
,,FALSE,,2025-01-04,,,MANAGER_SPECIAL,MANAGER_SPECIAL Alcohol 2024-12-29,10,1,PR-2024-12-29-004,SKU,2024-12-29
,,FALSE,,2025-01-04,,,MANAGER_SPECIAL,MANAGER_SPECIAL Bakery 2024-12-29,30,2,PR-2024-12-29-005,SKU,2024-12-29
,,FALSE,Deli,2025-01-04,,,MANAGER_SPECIAL,MANAGER_SPECIAL Deli 2024-12-29,10,3,PR-2024-12-29-006,CATEGORY,2024-12-29
2,,FALSE,,2025-01-11,,,BUNDLE,BUNDLE Candy 2025-01-05,10,2,PR-2025-01-05-007,SKU,2025-01-05
,,FALSE,,2025-01-11,,,COUPON,COUPON Meat and Seafood 2025-01-05,25,1,PR-2025-01-05-008,SKU,2025-01-05
,,FALSE,,2025-01-11,,,COUPON,COUPON Snacks/Cookies/Chips 2025-01-05,30,3,PR-2025-01-05-009,SKU,2025-01-05
,,FALSE,Frozen Foods,2025-01-11,,,COUPON,COUPON Frozen Foods 2025-01-05,10,1,PR-2025-01-05-010,CATEGORY,2025-01-05
,,FALSE,Dairy & Eggs,2025-01-11,,,MANAGER_SPECIAL,MANAGER_SPECIAL Dairy & Eggs 2025-01-05,20,1,PR-2025-01-05-011,CATEGORY,2025-01-05
,,FALSE,,2025-01-11,,,MANAGER_SPECIAL,MANAGER_SPECIAL Prepared Meals 2025-01-05,15,2,PR-2025-01-05-012,SKU,2025-01-05
,,FALSE,,2025-01-18,,,COUPON,COUPON Grains and Pasta 2025-01-12,15,1,PR-2025-01-12-013,SKU,2025-01-12
,,FALSE,,2025-01-18,,,MANAGER_SPECIAL,MANAGER_SPECIAL Prepared Meals 2025-01-12,20,1,PR-2025-01-12-014,SKU,2025-01-12
,1,FALSE,,2025-01-18,1,FREE,BOGO,BOGO Bakery 2025-01-12,100,3,PR-2025-01-12-015,SKU,2025-01-12
2,,FALSE,,2025-01-18,,,BUNDLE,BUNDLE Meat and Seafood 2025-01-12,10,1,PR-2025-01-12-016,SKU,2025-01-12
,,FALSE,Breakfast & Cereal,2025-01-18,,,MANAGER_SPECIAL,MANAGER_SPECIAL Breakfast & Cereal 2025-01-12,15,1,PR-2025-01-12-017,CATEGORY,2025-01-12
4,,FALSE,,2025-01-18,,,BUNDLE,BUNDLE Deli 2025-01-12,10,3,PR-2025-01-12-018,SKU,2025-01-12
,2,FALSE,Pet Food,2025-01-25,1,PCT,BOGO,BOGO Pet Food 2025-01-19,50,2,PR-2025-01-19-019,CATEGORY,2025-01-19
,,FALSE,,2025-01-25,,,COUPON,COUPON Dairy & Eggs 2025-01-19,25,1,PR-2025-01-19-020,SKU,2025-01-19
,,FALSE,Deli,2025-01-25,,,MANAGER_SPECIAL,MANAGER_SPECIAL Deli 2025-01-19,25,2,PR-2025-01-19-021,CATEGORY,2025-01-19
2,,FALSE,,2025-01-25,,,BUNDLE,BUNDLE Beverages 2025-01-19,20,2,PR-2025-01-19-022,SKU,2025-01-19
2,,FALSE,Snacks/Cookies/Chips,2025-01-25,,,BUNDLE,BUNDLE Snacks/Cookies/Chips 2025-01-19,20,3,PR-2025-01-19-023,CATEGORY,2025-01-19
3,,FALSE,Breakfast & Cereal,2025-01-25,,,BUNDLE,BUNDLE Breakfast & Cereal 2025-01-19,10,2,PR-2025-01-19-024,CATEGORY,2025-01-19
,1,FALSE,,2025-02-01,1,FREE,BOGO,BOGO Bakery 2025-01-26,100,3,PR-2025-01-26-025,SKU,2025-01-26
,,FALSE,Breakfast & Cereal,2025-02-01,,,COUPON,COUPON Breakfast & Cereal 2025-01-26,30,3,PR-2025-01-26-026,CATEGORY,2025-01-26
,1,FALSE,,2025-02-01,1,FREE,BOGO,BOGO Snacks/Cookies/Chips 2025-01-26,100,3,PR-2025-01-26-027,SKU,2025-01-26
,,FALSE,Dairy & Eggs,2025-02-01,,,MANAGER_SPECIAL,MANAGER_SPECIAL Dairy & Eggs 2025-01-26,20,3,PR-2025-01-26-028,CATEGORY,2025-01-26
,,FALSE,,2025-02-01,,,MANAGER_SPECIAL,MANAGER_SPECIAL Alcohol 2025-01-26,15,2,PR-2025-01-26-029,SKU,2025-01-26
,,FALSE,Candy,2025-02-01,,,COUPON,COUPON Candy 2025-01-26,25,2,PR-2025-01-26-030,CATEGORY,2025-01-26
,,FALSE,,2025-02-08,,,MANAGER_SPECIAL,MANAGER_SPECIAL Grains and Pasta 2025-02-02,30,2,PR-2025-02-02-031,SKU,2025-02-02
,,FALSE,Beverages,2025-02-08,,,COUPON,COUPON Beverages 2025-02-02,20,2,PR-2025-02-02-032,CATEGORY,2025-02-02
,,FALSE,Bakery,2025-02-08,,,MANAGER_SPECIAL,MANAGER_SPECIAL Bakery 2025-02-02,10,2,PR-2025-02-02-033,CATEGORY,2025-02-02
,,FALSE,Frozen Foods,2025-02-08,,,MANAGER_SPECIAL,MANAGER_SPECIAL Frozen Foods 2025-02-02,10,3,PR-2025-02-02-034,CATEGORY,2025-02-02
3,,FALSE,Deli,2025-02-08,,,BUNDLE,BUNDLE Deli 2025-02-02,20,2,PR-2025-02-02-035,CATEGORY,2025-02-02
2,,FALSE,,2025-02-08,,,BUNDLE,BUNDLE Baking 2025-02-02,25,2,PR-2025-02-02-036,SKU,2025-02-02
,,FALSE,,2025-02-15,,,COUPON,COUPON Meat and Seafood 2025-02-09,25,1,PR-2025-02-09-037,SKU,2025-02-09
,,FALSE,Beverages,2025-02-15,,,COUPON,COUPON Beverages 2025-02-09,20,2,PR-2025-02-09-038,CATEGORY,2025-02-09
,,FALSE,Grains and Pasta,2025-02-15,,,MANAGER_SPECIAL,MANAGER_SPECIAL Grains and Pasta 2025-02-09,10,1,PR-2025-02-09-039,CATEGORY,2025-02-09
