transaction_id,line_no,promotion_id,mechanic,savings
TX-20250102-000001,1,PR-2024-12-29-004,MANAGER_SPECIAL,2.17
TX-20250102-000002,1,PR-2024-12-29-006,MANAGER_SPECIAL,0.98
TX-20250102-000004,2,PR-2024-12-29-003,MANAGER_SPECIAL,0.81
TX-20250102-000005,2,PR-2024-12-29-006,MANAGER_SPECIAL,1.47
TX-20250102-000006,4,PR-2024-12-29-006,MANAGER_SPECIAL,1.51
TX-20250102-000008,2,PR-2024-12-29-003,MANAGER_SPECIAL,1.57
TX-20250102-000009,4,PR-2024-12-29-004,MANAGER_SPECIAL,0.92
TX-20250102-000010,2,PR-2024-12-29-003,MANAGER_SPECIAL,0.68
TX-20250102-000011,2,PR-2024-12-29-004,MANAGER_SPECIAL,2.53
TX-20250102-000011,3,PR-2024-12-29-003,MANAGER_SPECIAL,2.08
TX-20250102-000014,2,PR-2024-12-29-006,MANAGER_SPECIAL,0.60
TX-20250102-000014,4,PR-2024-12-29-006,MANAGER_SPECIAL,0.46
TX-20250102-000015,1,PR-2024-12-29-003,MANAGER_SPECIAL,1.23
TX-20250102-000016,3,PR-2024-12-29-003,MANAGER_SPECIAL,1.77
TX-20250102-000016,5,PR-2024-12-29-003,MANAGER_SPECIAL,1.76
TX-20250102-000019,1,PR-2024-12-29-003,MANAGER_SPECIAL,1.38
TX-20250102-000020,2,PR-2024-12-29-003,MANAGER_SPECIAL,1.34
TX-20250102-000021,3,PR-2024-12-29-003,MANAGER_SPECIAL,0.68
TX-20250102-000023,4,PR-2024-12-29-004,MANAGER_SPECIAL,2.06
TX-20250102-000024,1,PR-2024-12-29-003,MANAGER_SPECIAL,0.49
TX-20250102-000025,4,PR-2024-12-29-006,MANAGER_SPECIAL,0.87
TX-20250102-000029,4,PR-2024-12-29-003,MANAGER_SPECIAL,0.58
TX-20250102-000032,1,PR-2024-12-29-003,MANAGER_SPECIAL,1.87
TX-20250102-000034,1,PR-2024-12-29-003,MANAGER_SPECIAL,0.67
TX-20250102-000035,1,PR-2024-12-29-003,MANAGER_SPECIAL,0.50
TX-20250102-000043,1,PR-2024-12-29-006,MANAGER_SPECIAL,1.81
TX-20250102-000048,1,PR-2024-12-29-003,MANAGER_SPECIAL,0.99
TX-20250102-000048,3,PR-2024-12-29-006,MANAGER_SPECIAL,0.98
TX-20250102-000053,5,PR-2024-12-29-003,MANAGER_SPECIAL,0.50
TX-20250102-000054,1,PR-2024-12-29-003,MANAGER_SPECIAL,2.02
TX-20250102-000055,1,PR-2024-12-29-006,MANAGER_SPECIAL,1.68
TX-20250102-000055,5,PR-2024-12-29-006,MANAGER_SPECIAL,0.53
TX-20250102-000056,2,PR-2024-12-29-003,MANAGER_SPECIAL,1.23
TX-20250102-000057,1,PR-2024-12-29-006,MANAGER_SPECIAL,0.85
TX-20250102-000058,2,PR-2024-12-29-003,MANAGER_SPECIAL,1.46
TX-20250102-000064,1,PR-2024-12-29-006,MANAGER_SPECIAL,0.97
TX-20250102-000065,2,PR-2024-12-29-006,MANAGER_SPECIAL,0.83
TX-20250102-000067,5,PR-2024-12-29-003,MANAGER_SPECIAL,0.79
TX-20250102-000069,1,PR-2024-12-29-006,MANAGER_SPECIAL,2.23
TX-20250102-000070,1,PR-2024-12-29-006,MANAGER_SPECIAL,0.97
TX-20250102-000071,1,PR-2024-12-29-006,MANAGER_SPECIAL,0.74
TX-20250102-000074,1,PR-2024-12-29-003,MANAGER_SPECIAL,1.90
TX-20250102-000074,4,PR-2024-12-29-003,MANAGER_SPECIAL,0.69
TX-20250102-000076,2,PR-2024-12-29-006,MANAGER_SPECIAL,0.52
TX-20250102-000078,2,PR-2024-12-29-003,MANAGER_SPECIAL,1.15
TX-20250102-000086,1,PR-2024-12-29-003,MANAGER_SPECIAL,1.64
TX-20250102-000086,2,PR-2024-12-29-006,MANAGER_SPECIAL,0.64
TX-20250102-000088,1,PR-2024-12-29-006,MANAGER_SPECIAL,0.58
