transaction_id,customer_id,store_id,txn_ts,subtotal,tax,total,num_items,payment_type,day_name
TX-20250102-000001,C004707,1,2025-01-02 19:25:00,36.12,3.01,36.96,4,DEBIT,Thursday
TX-20250102-000002,C004828,1,2025-01-02 19:47:00,12.34,1.01,12.37,3,DEBIT,Thursday
TX-20250102-000003,C003241,1,2025-01-02 18:11:00,29.40,2.61,32.01,5,CASH,Thursday
TX-20250102-000004,C004413,1,2025-01-02 14:33:00,36.08,3.13,38.40,4,CASH,Thursday
TX-20250102-000005,C001677,1,2025-01-02 11:26:00,38.38,3.28,40.19,6,CASH,Thursday
TX-20250102-000006,C001812,1,2025-01-02 17:40:00,28.31,2.38,29.17,9,DEBIT,Thursday
TX-20250102-000007,C002471,1,2025-01-02 19:28:00,41.26,3.66,44.92,8,DEBIT,Thursday
TX-20250102-000008,C000353,1,2025-01-02 18:53:00,49.78,4.28,52.49,7,DEBIT,Thursday
TX-20250102-000009,C003852,1,2025-01-02 10:27:00,44.07,3.83,46.98,6,CASH,Thursday
TX-20250102-000010,C000579,1,2025-01-02 18:59:00,17.70,1.51,18.53,7,WALLET,Thursday
TX-20250102-000011,C002772,1,2025-01-02 09:15:00,39.63,3.11,38.13,7,CASH,Thursday
TX-20250102-000012,C004583,1,2025-01-02 15:29:00,25.10,2.23,27.33,3,DEBIT,Thursday
TX-20250102-000013,C002628,1,2025-01-02 18:17:00,8.10,0.72,8.82,2,CASH,Thursday
TX-20250102-000014,C004956,1,2025-01-02 20:26:00,24.84,2.11,25.89,4,DEBIT,Thursday
TX-20250102-000015,C003157,1,2025-01-02 08:09:00,4.10,0.25,3.12,2,CASH,Thursday
TX-20250102-000016,C003599,1,2025-01-02 17:40:00,26.14,2.01,24.62,9,CASH,Thursday
TX-20250102-000017,C000295,1,2025-01-02 19:11:00,20.35,1.81,22.16,3,CASH,Thursday
TX-20250102-000018,C004626,1,2025-01-02 09:46:00,24.00,2.13,26.13,3,DEBIT,Thursday
TX-20250102-000019,C002526,1,2025-01-02 11:29:00,22.84,1.90,23.36,6,DEBIT,Thursday
TX-20250102-000020,C004135,1,2025-01-02 10:18:00,23.98,2.01,24.65,4,WALLET,Thursday
TX-20250102-000021,C003969,1,2025-01-02 14:03:00,50.26,4.40,53.98,9,WALLET,Thursday
TX-20250102-000022,C004142,1,2025-01-02 09:19:00,28.68,2.55,31.23,5,CREDIT,Thursday
TX-20250102-000023,C002925,1,2025-01-02 19:33:00,34.60,2.89,35.43,4,DEBIT,Thursday
TX-20250102-000024,C004068,1,2025-01-02 11:18:00,48.81,4.29,52.61,6,CASH,Thursday
TX-20250102-000025,C004075,1,2025-01-02 13:04:00,62.92,5.51,67.56,6,CASH,Thursday
TX-20250102-000026,C003258,1,2025-01-02 16:47:00,10.32,0.92,11.24,3,DEBIT,Thursday
TX-20250102-000027,C001921,1,2025-01-02 19:30:00,11.94,1.06,13.00,3,DEBIT,Thursday
TX-20250102-000028,C002388,1,2025-01-02 12:49:00,21.32,1.89,23.21,4,CREDIT,Thursday
TX-20250102-000029,C001350,1,2025-01-02 15:43:00,35.87,3.13,38.42,9,WALLET,Thursday
TX-20250102-000030,C001155,1,2025-01-02 13:46:00,20.49,1.82,22.31,5,DEBIT,Thursday
TX-20250102-000031,C000423,1,2025-01-02 19:11:00,6.60,0.59,7.19,2,CREDIT,Thursday
TX-20250102-000032,C000565,1,2025-01-02 17:10:00,32.09,2.68,32.90,5,WALLET,Thursday
TX-20250102-000033,C000930,1,2025-01-02 20:02:00,15.44,1.37,16.81,2,WALLET,Thursday
TX-20250102-000034,C003694,1,2025-01-02 14:06:00,26.53,2.30,28.16,6,CREDIT,Thursday
TX-20250102-000035,C001525,1,2025-01-02 19:26:00,18.12,1.56,19.18,4,WALLET,Thursday
TX-20250102-000036,C000779,1,2025-01-02 11:35:00,9.46,0.84,10.30,2,CREDIT,Thursday
TX-20250102-000037,C001830,1,2025-01-02 20:41:00,7.71,0.68,8.39,3,DEBIT,Thursday
TX-20250102-000038,C000624,1,2025-01-02 17:34:00,9.46,0.84,10.30,3,DEBIT,Thursday
TX-20250102-000039,C000281,1,2025-01-02 16:21:00,2.23,0.20,2.43,1,WALLET,Thursday
TX-20250102-000040,C004419,1,2025-01-02 16:20:00,13.64,1.21,14.85,4,CASH,Thursday
TX-20250102-000041,C000768,1,2025-01-02 18:04:00,19.63,1.74,21.37,4,DEBIT,Thursday
TX-20250102-000042,C003280,1,2025-01-02 20:25:00,9.54,0.85,10.39,2,DEBIT,Thursday
TX-20250102-000043,C002158,1,2025-01-02 20:48:00,20.89,1.69,20.77,4,CREDIT,Thursday
TX-20250102-000044,C002725,1,2025-01-02 12:44:00,23.15,2.05,25.20,5,WALLET,Thursday
