week,WeekendVisit,days_since_last_visit,visits_last_4w,visits_last_12w,weekend_visits_12w,avg_spend_12w,avg_items_12w,week_sin,week_cos
5,1,4,1.0,1.0,1.0,4.04,1.0,0.5680647467311558,0.8229838658936564
6,1,3,3.0,3.0,3.0,21.580000000000002,4.333333333333333,0.6631226582407952,0.7485107481711011
7,0,4,4.0,4.0,4.0,27.487499999999997,5.5,0.7485107481711011,0.6631226582407953
8,0,11,4.0,4.0,4.0,27.487499999999997,5.5,0.8229838658936564,0.5680647467311559
9,1,18,3.0,4.0,4.0,27.487499999999997,5.5,0.8854560256532099,0.4647231720437686
10,1,3,2.0,5.0,5.0,26.076,5.2,0.9350162426854148,0.35460488704253557
11,1,2,4.0,8.0,7.0,22.33125,5.0,0.970941817426052,0.23931566428755804
12,0,3,5.0,9.0,8.0,21.558888888888887,4.666666666666667,0.992708874098054,0.120536680255323
13,0,10,5.0,9.0,8.0,21.558888888888887,4.666666666666667,1.0,-1.6081226496766364e-16
14,0,17,4.0,9.0,8.0,21.558888888888887,4.666666666666667,0.992708874098054,-0.12053668025532288
15,0,24,1.0,9.0,8.0,21.558888888888887,4.666666666666667,0.9709418174260521,-0.2393156642875575
16,0,31,0.0,9.0,8.0,21.558888888888887,4.666666666666667,0.9350162426854148,-0.35460488704253545
17,1,38,0.0,8.0,7.0,23.74875,5.125,0.8854560256532099,-0.4647231720437685
18,1,2,3.0,9.0,7.0,24.275555555555556,5.0,0.8229838658936565,-0.5680647467311557
19,1,3,6.0,11.0,9.0,24.862727272727273,4.636363636363637,0.7485107481711013,-0.663122658240795
20,0,3,8.0,13.0,11.0,24.76076923076923,4.538461538461538,0.6631226582407952,-0.7485107481711012
21,0,10,8.0,13.0,11.0,24.76076923076923,4.538461538461538,0.5680647467311558,-0.8229838658936564
22,0,17,5.0,12.0,10.0,25.121666666666666,4.583333333333333,0.46472317204376906,-0.8854560256532096
23,0,24,2.0,9.0,8.0,28.13222222222222,4.555555555555555,0.35460488704253584,-0.9350162426854147
24,1,31,0.0,8.0,7.0,29.72625,4.875,0.23931566428755768,-0.970941817426052
25,0,2,2.0,10.0,8.0,27.85,5.0,0.12053668025532308,-0.992708874098054
26,0,9,2.0,10.0,8.0,27.85,5.0,-3.216245299353273e-16,-1.0
27,0,2,3.0,11.0,8.0,28.41181818181818,5.454545454545454,-0.12053668025532283,-0.992708874098054
28,0,9,3.0,11.0,8.0,28.41181818181818,5.454545454545454,-0.23931566428755743,-0.9709418174260521
29,1,0,3.0,13.0,8.0,26.19538461538462,5.230769230769231,-0.3546048870425356,-0.9350162426854148
30,0,0,5.0,12.0,7.0,25.88083333333333,5.333333333333333,-0.46472317204376806,-0.8854560256532101
31,0,7,4.0,9.0,4.0,23.37222222222222,5.444444444444445,-0.5680647467311556,-0.8229838658936565
32,1,0,5.0,8.0,2.0,24.77,5.875,-0.663122658240795,-0.7485107481711013
33,1,4,4.0,9.0,3.0,24.637777777777778,5.888888888888889,-0.7485107481711011,-0.6631226582407952
34,1,3,5.0,12.0,6.0,23.909166666666668,6.0,-0.8229838658936564,-0.5680647467311559
35,1,6,6.0,13.0,7.0,27.606153846153845,6.153846153846154,-0.8854560256532096,-0.4647231720437691
36,0,4,6.0,14.0,8.0,28.71642857142857,6.142857142857143,-0.9350162426854147,-0.3546048870425359
37,1,11,5.0,12.0,7.0,30.111666666666665,6.25,-0.970941817426052,-0.23931566428755774
38,0,4,5.0,15.0,10.0,29.583333333333332,6.266666666666667,-0.992708874098054,-0.12053668025532357
39,1,11,4.0,14.0,10.0,29.265714285714285,6.0,-1.0,-1.8369701987210297e-16
40,0,6,5.0,16.0,11.0,28.85,6.125,-0.992708874098054,0.1205366802553232
41,0,13,5.0,14.0,11.0,30.970714285714283,6.428571428571429,-0.9709418174260521,0.23931566428755738
42,1,3,3.0,13.0,10.0,31.246923076923075,6.538461538461538,-0.9350162426854148,0.35460488704253557
43,1,3,4.0,14.0,11.0,30.185000000000002,6.214285714285714,-0.8854560256532101,0.464723172043768
44,0,4,3.0,14.0,12.0,28.662142857142857,6.071428571428571,-0.822983865893657,0.5680647467311548
2,0,2,1.0,1.0,0.0,41.99,5.0,0.23931566428755774,0.970941817426052
3,0,9,1.0,1.0,0.0,41.99,5.0,0.3546048870425356,0.9350162426854148
4,1,16,1.0,1.0,0.0,41.99,5.0,0.4647231720437685,0.8854560256532099
5,0,2,3.0,3.0,1.0,40.38333333333333,5.666666666666667,0.5680647467311558,0.8229838658936564
6,0,9,2.0,3.0,1.0,40.38333333333333,5.666666666666667,0.6631226582407952,0.7485107481711011
7,1,16,2.0,3.0,1.0,40.38333333333333,5.666666666666667,0.7485107481711011,0.6631226582407953
8,0,4,3.0,4.0,2.0,41.587500000000006,5.75,0.8229838658936564,0.5680647467311559
9,1,11,1.0,4.0,2.0,41.587500000000006,5.75,0.8854560256532099,0.4647231720437686
10,0,1,3.0,6.0,3.0,33.38,4.833333333333333,0.9350162426854148,0.35460488704253557
11,1,8,3.0,6.0,3.0,33.38,4.833333333333333,0.970941817426052,0.23931566428755804
12,1,3,5.0,9.0,6.0,39.36666666666667,5.888888888888889,0.992708874098054,0.120536680255323
13,1,4,7.0,11.0,8.0,38.047272727272734,5.818181818181818,1.0,-1.6081226496766364e-16
14,0,3,7.0,12.0,10.0,35.160000000000004,5.666666666666667,0.992708874098054,-0.12053668025532288
15,0,10,7.0,12.0,10.0,35.160000000000004,5.666666666666667,0.9709418174260521,-0.2393156642875575
16,0,2,6.0,14.0,10.0,35.26857142857143,5.714285714285714,0.9350162426854148,-0.35460488704253545
17,0,1,5.0,13.0,9.0,33.818461538461534,5.6923076923076925,0.8854560256532099,-0.4647231720437685
